date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-01-13,OG,FUT,Ancient,3,0,2.54,1.52,-38,-319,0.333,0.76,1.791759469228055,3.2188758248682006,0.5,0.62,0.5,-0.053999999999999826,-0.04049999999999998,0.55,0.63,0.423,1,0,0
2026-01-13,OG,FUT,Mirage,3,0,2.54,1.52,-38,-319,0.333,0.76,1.791759469228055,3.2188758248682006,0.5,0.78,0.5,-0.053999999999999826,-0.04049999999999998,0.55,0.63,0.423,1,0,0
2026-01-13,EYEBALLERS,FaZe,Ancient,3,0,4.13,1.23,-343,-432,0.781,0.565,3.4011973816621555,3.091042453358316,0.8,0.25,0.5,0.04600000000000004,-0.22999999999999998,0.55,0.57,0.267,0,0,0
2026-01-13,EYEBALLERS,FaZe,Mirage,3,0,4.13,1.23,-343,-432,0.781,0.565,3.4011973816621555,3.091042453358316,0.53,0.44,0.5,0.04600000000000004,-0.22999999999999998,0.55,0.57,0.267,0,0,1
2026-01-13,EYEBALLERS,FaZe,Inferno,3,0,4.13,1.23,-343,-432,0.781,0.565,3.4011973816621555,3.091042453358316,0.82,0.7,0.5,0.04600000000000004,-0.22999999999999998,0.55,0.57,0.267,0,0,1
2026-01-13,fnatic,Astralis,Mirage,3,0,2.38,1.58,-75,-140,0.5,0.429,3.091042453358316,2.6390573296152584,0.44,0.25,0.5,-0.03,-0.18089999999999995,0.58,0.51,0.317,1,2,1
2026-01-13,fnatic,Astralis,Overpass,3,0,2.38,1.58,-75,-140,0.5,0.429,3.091042453358316,2.6390573296152584,0.33,0.5,0.5,-0.03,-0.18089999999999995,0.58,0.51,0.317,1,2,0
2026-01-13,fnatic,Astralis,Ancient,3,0,2.38,1.58,-75,-140,0.5,0.429,3.091042453358316,2.6390573296152584,0.3333333333333333,0.3333333333333333,0.5,-0.03,-0.18089999999999995,0.58,0.51,0.317,1,2,0
2026-01-13,HOTU,Aurora,Mirage,3,0,3.11,1.37,-140,-245,0.818,0.529,2.3978952727983707,2.833213344056216,0.8,0.4,0.5,0.031999999999999806,-0.24550000000000005,0.62,0.54,0.309,1,1,0
2026-01-13,HOTU,Aurora,Nuke,3,0,3.11,1.37,-140,-245,0.818,0.529,2.3978952727983707,2.833213344056216,0.6666666666666666,0.625,0.5,0.031999999999999806,-0.24550000000000005,0.62,0.54,0.309,1,1,1
2026-01-13,HOTU,Aurora,Overpass,3,0,3.11,1.37,-140,-245,0.818,0.529,2.3978952727983707,2.833213344056216,0.25,0.5,0.5,0.031999999999999806,-0.24550000000000005,0.62,0.54,0.309,1,1,0
2026-01-14,PassionUA,GamerLegion,Dust2,3,0,1.85,1.96,54,57,0.5,0.474,2.8903717578961645,2.9444389791664403,0.33,0.33,0.2857142857142857,-0.03599999999999981,0.16049999999999998,0.53,0.474,0.346,0,1,1
2026-01-14,PassionUA,GamerLegion,Mirage,3,0,1.85,1.96,54,57,0.5,0.474,2.8903717578961645,2.9444389791664403,0.29,0.5,0.2857142857142857,-0.03599999999999981,0.16049999999999998,0.53,0.474,0.346,0,1,0
2026-01-14,PassionUA,GamerLegion,Inferno,3,0,1.85,1.96,54,57,0.5,0.474,2.8903717578961645,2.9444389791664403,0.75,0.5,0.2857142857142857,-0.03599999999999981,0.16049999999999998,0.53,0.474,0.346,0,1,0
2026-01-14,FriendlyCampers,HEROIC,Nuke,3,0,2.44,1.56,-34,-31,0.826,0.6,2.833213344056216,2.70805020110221,0.69,0.4,0.5,0.10399999999999987,-0.15810000000000002,0.67,0.49,0.259,5,2,0
2026-01-14,FriendlyCampers,HEROIC,Mirage,3,0,2.44,1.56,-34,-31,0.826,0.6,2.833213344056216,2.70805020110221,0.2,0.67,0.5,0.10399999999999987,-0.15810000000000002,0.67,0.49,0.259,5,2,0
2026-01-14,Monte,NaVi,Nuke,3,0,5.85,1.14,-340,-546,0.7,0.625,2.995732273553991,2.772588722239781,0.33,0.25,0.5,-0.008,-0.276,0.57,0.62,0.162,1,0,0
2026-01-14,Monte,NaVi,Mirage,3,0,5.85,1.14,-340,-546,0.7,0.625,2.995732273553991,2.772588722239781,0.62,0.88,0.5,-0.008,-0.276,0.57,0.62,0.162,1,0,1
2026-01-14,Monte,NaVi,Dust2,3,0,5.85,1.14,-340,-546,0.7,0.625,2.995732273553991,2.772588722239781,0.5,0.75,0.5,-0.008,-0.276,0.57,0.62,0.162,1,0,1
2026-01-14,Virtus.pro,Vitality,Overpass,3,0,8.4,1.07,-885,-784,0.429,0.737,1.9459101490553132,2.8903717578961645,0.75,0.6,0.4,-0.09,0.3405,0.5,0.71,0.273,0,0,0
2026-01-14,Virtus.pro,Vitality,Dust2,3,0,8.4,1.07,-885,-784,0.429,0.737,1.9459101490553132,2.8903717578961645,0.33,0.83,0.4,-0.09,0.3405,0.5,0.71,0.273,0,0,0
2026-01-15,M80,GentleMates,Mirage,3,0,1.78,2.04,13,53,0.76,0.583,3.258096538021482,2.4849066497880004,0.83,0.2,0.5,0.11,0.25649999999999995,0.66,0.51,0.635,1,0,0
2026-01-15,M80,GentleMates,Inferno,3,0,1.78,2.04,13,53,0.76,0.583,3.258096538021482,2.4849066497880004,0.44,0.57,0.5,0.11,0.25649999999999995,0.66,0.51,0.635,1,0,0
2026-01-15,3DMAX,InnerCircle,Ancient,3,0,1.35,3.24,129,349,0.455,0.4,3.091042453358316,2.70805020110221,0.43,0.62,0.6,-0.029999999999999805,0.1302000000000002,0.51,0.51,0.703,0,2,0
2026-01-15,3DMAX,InnerCircle,Nuke,3,0,1.35,3.24,129,349,0.455,0.4,3.091042453358316,2.70805020110221,0.4,0.17,0.6,-0.029999999999999805,0.1302000000000002,0.51,0.51,0.703,0,2,1
2026-01-15,3DMAX,InnerCircle,Dust2,3,0,1.35,3.24,129,349,0.455,0.4,3.091042453358316,2.70805020110221,0.33,0.33,0.6,-0.029999999999999805,0.1302000000000002,0.51,0.51,0.703,0,2,0
2026-01-15,Liquid,NinjasinPyjamas,Nuke,3,0,1.96,1.85,64,57,0.556,0.611,2.8903717578961645,2.833213344056216,0.5,0.71,0.5,-0.08400000000000007,0.09299999999999997,0.52,0.53,0.356,0,1,1
2026-01-15,Liquid,NinjasinPyjamas,Mirage,3,0,1.96,1.85,64,57,0.556,0.611,2.8903717578961645,2.833213344056216,0.6,0.5,0.5,-0.08400000000000007,0.09299999999999997,0.52,0.53,0.356,0,1,0
2026-01-15,Liquid,NinjasinPyjamas,Ancient,3,0,1.96,1.85,64,57,0.556,0.611,2.8903717578961645,2.833213344056216,0.67,0.5,0.5,-0.08400000000000007,0.09299999999999997,0.52,0.53,0.356,0,1,1
2026-01-15,Falcons,ECSTATIC,Inferno,3,0,1.04,11.0,569,556,0.667,0.583,2.70805020110221,3.1780538303479458,0.57,0.67,0.5,0.1080000000000001,0.35350000000000015,0.52,0.5,0.735,0,2,1
2026-01-15,Falcons,ECSTATIC,Mirage,3,0,1.04,11.0,569,556,0.667,0.583,2.70805020110221,3.1780538303479458,0.71,0.5,0.5,0.1080000000000001,0.35350000000000015,0.52,0.5,0.735,0,2,1
2026-01-16,ENCE,PARIVISION,Overpass,3,0,3.22,1.35,-54,-265,0.632,0.571,2.9444389791664403,2.6390573296152584,0.8,0.75,0.3684210526315789,0.0940000000000003,-0.08669999999999978,0.55,0.63,0.31,2,1,0
2026-01-16,ENCE,PARIVISION,Anubis,3,0,3.22,1.35,-54,-265,0.632,0.571,2.9444389791664403,2.6390573296152584,0.5,0.5,0.3684210526315789,0.0940000000000003,-0.08669999999999978,0.55,0.63,0.31,2,1,0
2026-01-16,SINNERS,Spirit,Mirage,3,0,7.86,1.08,-312,-544,0.812,0.583,2.70805020110221,2.4849066497880004,0.71,0.25,0.5,-0.008000000000000007,-0.4528000000000001,0.57,0.65,0.337,1,1,0
2026-01-16,SINNERS,Spirit,Nuke,3,0,7.86,1.08,-312,-544,0.812,0.583,2.70805020110221,2.4849066497880004,0.89,0.5,0.5,-0.008000000000000007,-0.4528000000000001,0.57,0.65,0.337,1,1,0
