date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-03-18,Falcons,NRG,Ancient,3,1,1.08,7.82,388,406,0.692,0.684,2.772588722239781,2.772588722239781,0.333,0.8,0.714285,0.00999,0.284999,0.53,0.66,0.807,0,1,1
2026-03-18,Falcons,NRG,Dust2,3,1,1.08,7.82,388,406,0.692,0.684,2.772588722239781,2.772588722239781,0.5,0.4,0.714285,0.00999,0.284999,0.53,0.66,0.807,0,1,1
2026-03-18,NaVi,B8,Mirage,3,1,1.3,3.59,338,411,0.556,0.2,2.772588722239781,2.772588722239781,0.4,0.38,0.875,0.054,0.1562,0.62,0.55,0.863,0,1,1
2026-03-18,NaVi,B8,Ancient,3,1,1.3,3.59,338,411,0.556,0.2,2.772588722239781,2.772588722239781,0.71,0.5,0.875,0.054,0.1562,0.62,0.55,0.863,0,1,0
2026-03-18,NaVi,B8,Dust2,3,1,1.3,3.59,338,411,0.556,0.2,2.772588722239781,2.772588722239781,0.55,0.5,0.875,0.054,0.1562,0.62,0.55,0.863,0,1,1
2026-03-18,FaZe,Aurora,Nuke,3,1,2.38,1.58,146,283,0.25,0.591,2.772588722239781,2.772588722239781,0.2,0.333,0.6,0.007999,-0.0974,0.25,0.55,0.354,0,0,1
2026-03-18,FaZe,Aurora,Inferno,3,1,2.38,1.58,146,283,0.25,0.591,2.772588722239781,2.772588722239781,0.1428,0.62,0.6,0.007999,-0.0974,0.25,0.55,0.354,0,0,0
2026-03-18,FaZe,Aurora,Dust2,3,1,2.38,1.58,146,283,0.25,0.591,2.772588722239781,2.772588722239781,0.83,0.67,0.6,0.007999,-0.0974,0.25,0.55,0.354,0,0,0
2026-03-18,FURIA,TYLOO,Mirage,3,1,1.13,6.03,534,850,0.619,0.8889,2.772588722239781,2.772588722239781,0.53,0.8,0.5,-0.008,0.270999,0.58,0.6,0.605,0,0,1
2026-03-18,FURIA,TYLOO,Overpass,3,1,1.13,6.03,534,850,0.619,0.8889,2.772588722239781,2.772588722239781,0.29,0.75,0.5,-0.008,0.270999,0.58,0.6,0.605,0,0,1
2026-03-19,PARIVISION,NinjasinPyjamas,Ancient,3,1,1.5,2.6,355,386,0.636,0.654,2.772588722239781,2.772588722239781,0.75,0.64,0.625,0.017999,0.285999,0.62,0.53,0.721,0,0,1
2026-03-19,PARIVISION,NinjasinPyjamas,Mirage,3,1,1.5,2.6,355,386,0.636,0.654,2.772588722239781,2.772588722239781,0.5,0.43,0.625,0.017999,0.285999,0.62,0.53,0.721,0,0,0
2026-03-19,PARIVISION,NinjasinPyjamas,Dust2,3,1,1.5,2.6,355,386,0.636,0.654,2.772588722239781,2.772588722239781,0.67,0.64,0.625,0.017999,0.285999,0.62,0.53,0.721,0,0,1
2026-03-19,Spirit,Liquid,Ancient,3,1,1.15,5.64,285,424,0.75,0.444,2.772588722239781,2.772588722239781,0.5,0.29,0.8,0.121999,0.2245999,0.65,0.5,0.78,0,1,1
2026-03-19,Spirit,Liquid,Mirage,3,1,1.15,5.64,285,424,0.75,0.444,2.772588722239781,2.772588722239781,0.5,0.5,0.8,0.121999,0.2245999,0.65,0.5,0.78,0,1,1
2026-03-19,MOUZ,TheMongolZ,Nuke,3,1,1.34,3.28,292,237,0.6667,0.5,2.772588722239781,2.772588722239781,0.333,0.57,0.857142,0.044,0.0440,0.59,0.59,0.562,0,0,0
2026-03-19,MOUZ,TheMongolZ,Inferno,3,1,1.34,3.28,292,237,0.6667,0.5,2.772588722239781,2.772588722239781,0.7,0.25,0.857142,0.044,0.0440,0.59,0.59,0.562,0,0,0
2026-03-19,Vitality,9z,Overpass,3,1,1.05,10.0,958,575,0.933,0.806,2.772588722239781,2.772588722239781,0.8889,0.77,0.857142,0.006,0.2875,0.72,0.68,0.675,0,0,1
2026-03-19,Vitality,9z,Nuke,3,1,1.05,10.0,958,575,0.933,0.806,2.772588722239781,2.772588722239781,0.8,61,0.857142,0.006,0.2875,0.72,0.68,0.675,0,0,1
2026-03-20,NRG,B8,Inferno,3,1,2.25,1.65,-19,-7,0.65,0.182,2.772588722239781,2.772588722239781,0.56,0.2,0.6,0.07999,-0.0927,0.65,0.55,0.244,1,1,1
2026-03-20,NRG,B8,Ancient,3,1,2.25,1.65,-19,-7,0.65,0.182,2.772588722239781,2.772588722239781,0.67,0.67,0.6,0.07999,-0.0927,0.65,0.55,0.244,1,1,1
2026-03-20,FaZe,TYLOO,Mirage,3,1,1.52,2.56,198,479,0.231,0.875,2.772588722239781,2.772588722239781,0.2,0.75,0.6,-0.06,0.1130999,0.33,0.59,0.504,0,0,0
2026-03-20,FaZe,TYLOO,Ancient,3,1,1.52,2.56,198,479,0.231,0.875,2.772588722239781,2.772588722239781,0.38,0.667,0.6,-0.06,0.1130999,0.33,0.59,0.504,0,0,1
2026-03-20,FaZe,TYLOO,Overpass,3,1,1.52,2.56,198,479,0.231,0.875,2.772588722239781,2.772588722239781,0.75,0.667,0.6,-0.06,0.1130999,0.33,0.59,0.504,0,0,0
2026-03-20,Falcons,NaVi,Mirage,3,1,1.71,2.16,31,-15,0.714,0.579,2.772588722239781,2.772588722239781,0.71,0.44,0.714285,-0.024,-0.024,0.53,0.62,0.368,1,0,1
2026-03-20,Falcons,NaVi,Inferno,3,1,1.71,2.16,31,-15,0.714,0.579,2.772588722239781,2.772588722239781,0.57,0.56,0.714285,-0.024,-0.024,0.53,0.62,0.368,1,0,0
2026-03-20,Falcons,NaVi,Dust2,3,1,1.71,2.16,31,-15,0.714,0.579,2.772588722239781,2.772588722239781,0.56,0.58,0.714285,-0.024,-0.024,0.53,0.62,0.368,1,0,0
2026-03-20,Aurora,FURIA,Dust2,3,1,2.08,1.75,-290,-50,0.609,0.636,2.772588722239781,2.772588722239781,0.69,0.69,0.44,-0.05999,-0.05999,0.55,0.58,0.583,0,0,1
2026-03-20,Aurora,FURIA,Inferno,3,1,2.08,1.75,-290,-50,0.609,0.636,2.772588722239781,2.772588722239781,0.67,0.45,0.44,-0.05999,-0.05999,0.55,0.58,0.583,0,0,1
2026-03-21,NinjasinPyjamas,Liquid,Nuke,3,1,1.67,2.21,-9,103,0.63,0.421,2.772588722239781,2.772588722239781,0.71,0.5,0.2857,0.074,0.0554999,0.53,0.49,0.597,0,1,1
2026-03-21,NinjasinPyjamas,Liquid,Mirage,3,1,1.67,2.21,-9,103,0.63,0.421,2.772588722239781,2.772588722239781,0.5,0.43,0.2857,0.074,0.0554999,0.53,0.49,0.597,0,1,0
2026-03-21,NinjasinPyjamas,Liquid,Ancient,3,1,1.67,2.21,-9,103,0.63,0.421,2.772588722239781,2.772588722239781,0.5,0.25,0.2857,0.074,0.0554999,0.53,0.49,0.597,0,1,0
2026-03-21,MOUZ,9z,Dust2,3,1,1.09,7.4,435,390,0.632,0.784,2.772588722239781,2.772588722239781,0.27,0.77,0.5,-0.025999,0.2545,0.59,0.67,0.658,0,0,1
2026-03-21,MOUZ,9z,Inferno,3,1,1.09,7.4,435,390,0.632,0.784,2.772588722239781,2.772588722239781,0.64,0.73,0.5,-0.025999,0.2545,0.59,0.67,0.658,0,0,0
2026-03-21,MOUZ,9z,Nuke,3,1,1.09,7.4,435,390,0.632,0.784,2.772588722239781,2.772588722239781,0.25,0.58,0.5,-0.025999,0.2545,0.59,0.67,0.658,0,0,0
2026-03-21,PARIVISION,Spirit,Anubis,3,1,3.14,1.37,39,50,0.652,0.769,2.772588722239781,2.772588722239781,0.667,0.8,0.6,-0.058,-0.058,0.62,0.65,0.386,0,0,1
2026-03-21,PARIVISION,Spirit,Ancient,3,1,3.14,1.37,39,50,0.652,0.769,2.772588722239781,2.772588722239781,0.78,0.6,0.6,-0.058,-0.058,0.62,0.65,0.386,0,0,1
2026-03-21,TheMongolZ,Vitality,Mirage,3,1,5.99,1.13,715,343,0.533,0.938,2.772588722239781,2.772588722239781,0.64,0.4,0.2647,-0.073999,-0.073999,0.6,0.72,0.311,0,0,0
2026-03-21,TheMongolZ,Vitality,Overpass,3,1,5.99,1.13,715,343,0.533,0.938,2.772588722239781,2.772588722239781,0.333,0.9,0.2647,-0.073999,-0.073999,0.6,0.72,0.311,0,0,0
2026-03-22,TYLOO,Falcons,Inferno,3,1,6.34,1.12,407,677,0.889,0.667,2.772588722239781,2.772588722239781,0.8,0.75,0.5,0.000001,-0.2764999,0.59,0.53,0.48,0,0,1
2026-03-22,TYLOO,Falcons,Ancient,3,1,6.34,1.12,407,677,0.889,0.667,2.772588722239781,2.772588722239781,0.5,0.5,0.25,0.000001,-0.2764999,0.59,0.53,0.48,0,0,0
2026-03-22,TYLOO,Falcons,Mirage,3,1,6.34,1.12,407,677,0.889,0.667,2.772588722239781,2.772588722239781,0.8,0.5,0.75,0.000001,-0.2764999,0.59,0.53,0.48,0,0,0
2026-03-22,NRG,FURIA,Mirage,3,1,4.35,1.22,515,433,0.667,0.609,2.772588722239781,2.772588722239781,0.75,0.56,0.4,0.002,-0.2754999,0.66,0.58,0.275,1,0,1
2026-03-22,NRG,FURIA,Nuke,3,1,4.35,1.22,515,433,0.667,0.609,2.772588722239781,2.772588722239781,0.25,0.57,0.4,0.002,-0.2754999,0.66,0.58,0.275,1,0,0
2026-03-22,NRG,FURIA,Dust2,3,1,4.35,1.22,515,433,0.667,0.609,2.772588722239781,2.772588722239781,0.4,0.64,0.4,0.002,-0.2754999,0.66,0.58,0.275,1,0,0
2026-03-22,Liquid,TheMongolZ,Ancient,3,1,3.33,1.33,-218,-390,0.45,0.5,2.772588722239781,2.772588722239781,0.333,0.2,0.25,-0.052,-0.1526,0.49,0.59,0.348,1,0,0
2026-03-22,Liquid,TheMongolZ,Mirage,3,1,3.33,1.33,-218,-390,0.45,0.5,2.772588722239781,2.772588722239781,0.5,0.58,0.25,-0.052,-0.1526,0.49,0.59,0.348,1,0,0
2026-03-22,9z,Spirit,Overpass,3,1,5.18,1.16,-310,-96,0.778,0.714,2.772588722239781,2.772588722239781,0.74,0.75,0.5,-0.024,-0.304,0.67,0.65,0.55,0,0,0
2026-03-22,9z,Spirit,Dust2,3,1,5.18,1.16,-310,-96,0.778,0.714,2.772588722239781,2.772588722239781,0.69,0.86,0.5,-0.024,-0.304,0.67,0.65,0.55,0,0,0
2026-03-23,NaVi,Aurora,Anubis,3,1,1.63,2.29,32,58,0.6,0.625,2.772588722239781,2.772588722239781,0.62,0.667,0.71875,0.028,0.028,0.62,0.55,0.55,0,0,1
2026-03-23,NaVi,Aurora,Nuke,3,1,1.63,2.29,32,58,0.6,0.625,2.772588722239781,2.772588722239781,0.75,0.29,0.71875,0.028,0.028,0.62,0.55,0.55,0,0,1
2026-03-23,Falcons,FURIA,Mirage,3,1,1.62,2.3,-127,-65,0.688,0.625,2.772588722239781,2.772588722239781,0.78,0.53,0.368421,0.002,0.002,0.53,0.58,0.562,0,0,1
2026-03-23,Falcons,FURIA,Dust2,3,1,1.62,2.3,-127,-65,0.688,0.625,2.772588722239781,2.772588722239781,0.5,0.667,0.368421,0.002,0.002,0.53,0.58,0.562,0,0,0
2026-03-23,Falcons,FURIA,Nuke,3,1,1.62,2.3,-127,-65,0.688,0.625,2.772588722239781,2.772588722239781,0.8,0.62,0.368421,0.002,0.002,0.53,0.58,0.562,0,0,1
