date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-03-01,HEROIC,NRG,Inferno,3,0,2.02,1.81,-3,-23,0.5,0.722,2.772588722239781,2.772588722239781,0.67,0.62,0.5,-0.08599999999999985,-0.06449999999999989,0.5,0.67,0.46,1,0,1
2026-03-01,HEROIC,NRG,Nuke,3,0,2.02,1.81,-3,-23,0.5,0.722,2.772588722239781,2.772588722239781,0.75,0.5,0.5,-0.08599999999999985,-0.06449999999999989,0.5,0.67,0.46,1,0,1
2026-03-01,PARIVISION,SemperFi,Mirage,3,0,1.07,8.43,376,989,0.654,0.353,2.772588722239781,2.772588722239781,0.44,0.33,0.5,-0.054,0.4052,0.62,0.353,0.875,0,0,1
2026-03-01,PARIVISION,SemperFi,Dust2,3,0,1.07,8.43,376,989,0.654,0.353,2.772588722239781,2.772588722239781,0.73,0.25,0.5,-0.054,0.4052,0.62,0.353,0.875,0,0,1
2026-03-01,G2,GaiminGladiators,Dust2,3,0,1.11,6.82,217,494,0.5,0.556,2.772588722239781,2.772588722239781,0.4,0.8,0.5,0.016,0.4464,0.53,0.54,0.853,0,2,1
2026-03-01,G2,GaiminGladiators,Inferno,3,0,1.11,6.82,217,494,0.5,0.556,2.772588722239781,2.772588722239781,0.333,0.16667,0.5,0.016,0.4464,0.53,0.54,0.853,0,2,1
2026-03-01,Astralis,Monte,Dust2,3,0,1.52,2.56,124,158,0.474,0.846,2.772588722239781,2.772588722239781,0.2,0.8,0.5,-0.042,0.1236,0.51,0.58,0.693,2,1,0
2026-03-01,Astralis,Monte,Ancient,3,0,1.52,2.56,124,158,0.474,0.846,2.772588722239781,2.772588722239781,0.75,0.667,0.5,-0.042,0.1236,0.51,0.58,0.693,2,1,1
2026-03-01,Astralis,Monte,Nuke,3,0,1.52,2.56,124,158,0.474,0.846,2.772588722239781,2.772588722239781,0.333,0.4,0.5,-0.042,0.1236,0.51,0.58,0.693,2,1,1
2026-03-01,FUT,M80,Anubis,3,0,1.46,2.73,72,177,0.583,0.682,2.772588722239781,2.772588722239781,0.1428,0.5,0.5,-0.03399999999999981,0.1374,0.6,0.66,0.805,0,0,0
2026-03-01,FUT,M80,Mirage,3,0,1.46,2.73,72,177,0.583,0.682,2.772588722239781,2.772588722239781,0.93,0.69,0.5,-0.03399999999999981,0.1374,0.6,0.66,0.805,0,0,1
2026-03-01,FUT,M80,Ancient,3,0,1.46,2.73,72,177,0.583,0.682,2.772588722239781,2.772588722239781,0.67,0.83,0.5,-0.03399999999999981,0.1374,0.6,0.66,0.805,0,0,1
2026-03-01,NinjasinPyjamas,Legacy,Ancient,3,0,1.8,2.02,0,-20,0.619,0.25,2.772588722239781,2.772588722239781,0.67,0.25,0.5,0.01,0.0075,0.53,0.43,0.741,1,1,0
2026-03-01,NinjasinPyjamas,Legacy,Nuke,3,0,1.8,2.02,0,-20,0.619,0.25,2.772588722239781,2.772588722239781,0.6,0.33,0.5,0.01,0.0075,0.53,0.43,0.741,1,1,1
2026-03-01,NinjasinPyjamas,Legacy,Overpass,3,0,1.8,2.02,0,-20,0.619,0.25,2.772588722239781,2.772588722239781,0.333,0.33,0.5,0.01,0.0075,0.53,0.43,0.741,1,1,0
2026-03-01,Liquid,PassionUA,Dust2,3,0,1.71,2.16,30,121,0.429,0.522,2.772588722239781,2.772588722239781,0.33,0.6,0.25,-0.041999999999999815,-0.037799999999999834,0.51,0.54,0.307,0,2,0
2026-03-01,Liquid,PassionUA,Nuke,3,0,1.71,2.16,30,121,0.429,0.522,2.772588722239781,2.772588722239781,0.67,0.33,0.25,-0.041999999999999815,-0.037799999999999834,0.51,0.54,0.307,0,2,0
2026-03-01,3DMAX,paiN,Nuke,3,0,1.8,2.02,28,84,0.368,0.25,2.772588722239781,2.772588722239781,0.29,0.8,0.5,0.014,0.0126,0.5,0.61,0.688,1,2,0
2026-03-01,3DMAX,paiN,Dust2,3,0,1.8,2.02,28,84,0.368,0.25,2.772588722239781,2.772588722239781,0.22,0.14,0.5,0.014,0.0126,0.5,0.61,0.688,1,2,1
2026-03-01,3DMAX,paiN,Inferno,3,0,1.8,2.02,28,84,0.368,0.25,2.772588722239781,2.772588722239781,0.33,0.33,0.5,0.014,0.0126,0.5,0.61,0.688,1,2,0
2026-03-02,NRG,Monte,Nuke,3,0,1.72,2.13,26,-1,0.765,0.7,2.772588722239781,2.772588722239781,0.333,0.333,0.5,-0.026,0.1368,0.66,0.57,0.299,1,1,0
2026-03-02,NRG,Monte,Anubis,3,0,1.72,2.13,26,-1,0.765,0.7,2.772588722239781,2.772588722239781,0.5,0.5,0.5,-0.026,0.1368,0.66,0.57,0.299,1,1,0
2026-03-02,HEROIC,Astralis,Dust2,3,0,2.23,1.66,-93,-107,0.6,0.5,2.772588722239781,2.772588722239781,0.8,0.17,0.4,0.006,0.0054,0.52,0.51,0.383,1,2,0
2026-03-02,HEROIC,Astralis,Overpass,3,0,2.23,1.66,-93,-107,0.6,0.5,2.772588722239781,2.772588722239781,0.25,0.73,0.4,0.006,0.0054,0.52,0.51,0.383,1,2,0
2026-03-02,PARIVISION,paiN,Mirage,3,0,1.23,4.25,303,539,0.619,0.308,2.772588722239781,2.772588722239781,0.5,0.333,0.5,0.04799,0.1521999,0.63,0.61,0.922,0,2,1
2026-03-02,PARIVISION,paiN,Dust2,3,0,1.23,4.25,303,539,0.619,0.308,2.772588722239781,2.772588722239781,0.73,0.12,0.5,0.04799,0.1521999,0.63,0.61,0.922,0,2,1
2026-03-02,3DMAX,SemperFi,Dust2,3,0,1.1,7.0,101,500,0.294,0.333,2.772588722239781,2.772588722239781,0.333,0.2,0.5,-0.095999,0.3704,0.33,0.333,0.667,1,0,1
2026-03-02,3DMAX,SemperFi,Inferno,3,0,1.1,7.0,101,500,0.294,0.333,2.772588722239781,2.772588722239781,0.29,0.71,0.5,-0.095999,0.3704,0.33,0.333,0.667,1,0,1
2026-03-02,PassionUA,FUT,Anubis,3,0,2.77,1.45,-43,-228,0.55,0.571,2.772588722239781,2.772588722239781,0.5,0.125,0.25,0.031999,0.0287999,0.54,0.6,0.416,2,0,0
2026-03-02,PassionUA,FUT,Mirage,3,0,2.77,1.45,-43,-228,0.55,0.571,2.772588722239781,2.772588722239781,0.333,0.94,0.25,0.031999,0.0287999,0.54,0.6,0.416,2,0,1
2026-03-02,PassionUA,FUT,Dust2,3,0,2.77,1.45,-43,-228,0.55,0.571,2.772588722239781,2.772588722239781,0.67,0.29,0.25,0.031999,0.0287999,0.54,0.6,0.416,2,0,0
2026-03-02,NinjasinPyjamas,M80,Anubis,3,0,1.86,1.96,4,3,0.588,0.684,2.772588722239781,2.772588722239781,0.5,0.667,0.5,-0.047999,-0.035999,0.53,0.66,0.538,1,0,0
2026-03-02,NinjasinPyjamas,M80,Ancient,3,0,1.86,1.96,4,3,0.588,0.684,2.772588722239781,2.772588722239781,0.6,0.71,0.5,-0.047999,-0.035999,0.53,0.66,0.538,1,0,1
