date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-05-11,B8,BetBoom,Mirage,3,1,2.14,1.71,31,79,0.5,0.71,2.772588722239781,2.772588722239781,0.61,0.54,0.63636,-0.024,0.138,0.55,0.64,0.6,0,1,1
2026-05-11,B8,BetBoom,Nuke,3,1,2.14,1.71,31,79,0.5,0.71,2.772588722239781,2.772588722239781,0.38,0.73,0.63636,-0.024,0.138,0.55,0.64,0.6,0,1,0
2026-05-11,B8,BetBoom,Dust2,3,1,2.14,1.71,31,79,0.5,0.71,2.772588722239781,2.772588722239781,0.55,0.78,0.63636,-0.024,0.138,0.55,0.64,0.6,0,1,0
2026-05-11,paiN,FaZe,Dust2,3,1,2.37,1.59,-89,67,0.619,0.391,2.772588722239781,2.772588722239781,0.2,0.69,0.6,-0.028,-0.1821,0.61,0.4,0.086,1,1,1
2026-05-11,paiN,FaZe,Anubis,3,1,2.37,1.59,-89,67,0.619,0.391,2.772588722239781,2.772588722239781,0.667,0.1428,0.6,-0.028,-0.1821,0.61,0.4,0.086,1,1,1
2026-05-11,NRG,FUT,Overpass,3,1,4.77,1.19,-145,-439,0.308,0.625,2.772588722239781,2.772588722239781,0.333,0.56,0.25,0.01,-0.263,0.65,0.61,0.07,0,0,0
2026-05-11,NRG,FUT,Ancient,3,1,4.77,1.19,-145,-439,0.308,0.625,2.772588722239781,2.772588722239781,0.6,0.55,0.25,0.01,-0.263,0.65,0.61,0.07,0,0,0
2026-05-11,Vitality,BC.Game,Mirage,3,1,1.01,15.0,983,948,0.952,0.333,2.772588722239781,2.772588722239781,0.75,0.5,0.75,0.044,0.4808,0.73,0.36,0.507,0,2,1
2026-05-11,Vitality,BC.Game,Dust2,3,1,1.01,15.0,983,948,0.952,0.333,2.772588722239781,2.772588722239781,0.92,0.25,0.75,0.044,0.4808,0.73,0.36,0.507,0,2,1
2026-05-11,NaVi,PassionUA,Anubis,3,1,1.11,6.7,502,600,0.679,0.5,2.772588722239781,2.772588722239781,0.5,0.44,0.75,0.058,0.314,0.62,0.53,0.952,0,1,1
