date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-01-28,Aurora,GamerLegion,Nuke,3,1,1.38,2.8,100,143,0.533,0.579,2.772588722239781,2.833213344056216,0.6,0.67,0.5714285714285714,0.0019999999999997797,0.27049999999999974,0.54,0.71,0.479,1,1,1
2026-01-28,Aurora,GamerLegion,Dust2,3,1,1.38,2.8,100,143,0.533,0.579,2.772588722239781,2.833213344056216,0.83,0.14,0.5714285714285714,0.0019999999999997797,0.27049999999999974,0.54,0.71,0.479,1,1,1
2026-01-28,HEROIC,PARIVISION,Inferno,3,1,2.16,1.62,-112,-320,0.615,0.684,2.70805020110221,2.833213344056216,0.67,0.5,0.5,-0.10400000000000009,-0.20720000000000005,0.51,0.65,0.163,1,1,0
2026-01-28,HEROIC,PARIVISION,Dust2,3,1,2.16,1.62,-112,-320,0.615,0.684,2.70805020110221,2.833213344056216,0.4,0.875,0.5,-0.10400000000000009,-0.20720000000000005,0.51,0.65,0.163,1,1,1
2026-01-28,HEROIC,PARIVISION,Ancient,3,1,2.16,1.62,-112,-320,0.615,0.684,2.70805020110221,2.833213344056216,0.6,0.71,0.5,-0.10400000000000009,-0.20720000000000005,0.51,0.65,0.163,1,1,0
2026-01-28,Liquid,NinjasinPyjamas,Nuke,3,1,1.66,2.1,64,96,0.562,0.579,2.772588722239781,2.772588722239781,0.6,0.67,0.6,-0.03000000000000025,0.13319999999999976,0.52,0.53,0.516,0,1,1
2026-01-28,Liquid,NinjasinPyjamas,Mirage,3,1,1.66,2.1,64,96,0.562,0.579,2.772588722239781,2.772588722239781,0.62,0.75,0.6,-0.03000000000000025,0.13319999999999976,0.52,0.53,0.516,0,1,1
2026-01-28,PassionUA,G2,Overpass,3,1,3.33,1.28,-75,-85,0.474,0.444,2.772588722239781,2.772588722239781,0.4,0.2,0.25,-0.03600000000000003,-0.1422,0.53,0.52,0.119,0,0,1
2026-01-28,PassionUA,G2,Dust2,3,1,3.33,1.28,-75,-85,0.474,0.444,2.772588722239781,2.772588722239781,0.5,0.5,0.25,-0.03600000000000003,-0.1422,0.53,0.52,0.119,0,0,0
2026-01-28,PassionUA,G2,Mirage,3,1,3.33,1.28,-75,-85,0.474,0.444,2.772588722239781,2.772588722239781,0.25,0.5,0.25,-0.03600000000000003,-0.1422,0.53,0.52,0.119,0,0,0
2026-01-28,Legacy,BC.Game,Overpass,3,1,1.47,2.50,58,92,0.556,0.467,2.772588722239781,2.772588722239781,0.66,0.2,0.6,0.02400000000000002,0.18389999999999995,0.6,0.5,0.29,0,2,0
2026-01-28,Legacy,BC.Game,Inferno,3,1,1.47,2.50,58,92,0.556,0.467,2.772588722239781,2.772588722239781,0.88,0.82,0.6,0.02400000000000002,0.18389999999999995,0.6,0.5,0.29,0,2,0
2026-01-28,FUT,3DMAX,Ancient,3,1,1.9,1.9,-95,11,0.733,0.312,2.833213344056216,2.772588722239781,0.67,0.4,0.5,0.05400000000000027,-0.11549999999999983,0.63,0.51,0.796,0,0,1
2026-01-28,FUT,3DMAX,Anubis,3,1,1.9,1.9,-95,11,0.733,0.312,2.833213344056216,2.772588722239781,0.25,0.5,0.5,0.05400000000000027,-0.11549999999999983,0.63,0.51,0.796,0,0,0
2026-01-28,FUT,3DMAX,Dust2,3,1,1.9,1.9,-95,11,0.733,0.312,2.833213344056216,2.772588722239781,0.44,0.125,0.5,0.05400000000000027,-0.11549999999999983,0.63,0.51,0.796,0,0,0
2026-01-28,Astralis,paiN,Dust2,3,1,2.08,1.75,-6,27,0.438,0.471,2.772588722239781,2.772588722239781,0.333333333,0.4,0.5555555555555556,-0.09,-0.081,0.51,0.61,0.537,0,0,1
2026-01-28,Astralis,paiN,Overpass,3,1,2.08,1.75,-6,27,0.438,0.471,2.772588722239781,2.772588722239781,0.75,0.33,0.5555555555555556,-0.09,-0.081,0.51,0.61,0.537,0,0,1
2026-01-28,NRG,B8,Dust2,3,1,2.52,1.53,-99,-169,0.826,0.611,2.833213344056216,2.772588722239781,0.64,0.5,0.5,0.09199999999999986,-0.08790000000000009,0.67,0.55,0.26,0,1,0
2026-01-28,NRG,B8,Mirage,3,1,2.52,1.53,-99,-169,0.826,0.611,2.833213344056216,2.772588722239781,0.64,0.5,0.5,0.09199999999999986,-0.08790000000000009,0.67,0.55,0.26,0,1,1
2026-01-28,NRG,B8,Inferno,3,1,2.52,1.53,-99,-169,0.826,0.611,2.833213344056216,2.772588722239781,0.64,0.5,0.5,0.09199999999999986,-0.08790000000000009,0.67,0.55,0.26,0,1,1
2026-01-29,Aurora,PARIVISION,Dust2,3,1,2.47,1.55,-226,-195,0.538,0.7,2.772588722239781,2.772588722239781,0.86,0.86,0.3333333333,-0.07199999999999984,-0.07199999999999984,0.55,0.64,0.457,1,1,0
2026-01-29,Aurora,PARIVISION,Anubis,3,1,2.47,1.55,-226,-195,0.538,0.7,2.772588722239781,2.772588722239781,0.5,0.6666667,0.3333333333,-0.07199999999999984,-0.07199999999999984,0.55,0.64,0.457,1,1,1
2026-01-29,Aurora,PARIVISION,Dust2,3,1,2.47,1.55,-226,-195,0.538,0.7,2.772588722239781,2.772588722239781,0.86,0.86,0.3333333333,-0.07199999999999984,-0.07199999999999984,0.55,0.64,0.457,1,1,0
2026-01-29,GamerLegion,HEROIC,Overpass,3,1,2.23,1.66,4,2,0.5,0.5,2.772588722239781,2.772588722239781,0.5,0.66667,0.6,-0.0019999999999997797,-0.0017999999999998018,0.52,0.5,0.5,1,1,1
2026-01-29,GamerLegion,HEROIC,Mirage,3,1,2.23,1.66,4,2,0.5,0.5,2.772588722239781,2.772588722239781,0.75,0.8,0.6,-0.0019999999999997797,-0.0017999999999998018,0.52,0.5,0.5,1,1,1
2026-01-29,BC.Game,3DMAX,Overpass,3,1,2.13,1.72,-120,-74,0.4,0.333333,2.772588722239781,2.772588722239781,0.33,0.5,0.25,0.005999999999999783,-0.1515,0.43,0.51,0.826,2,0,0
2026-01-29,BC.Game,3DMAX,Anubis,3,1,2.13,1.72,-120,-74,0.4,0.333333,2.772588722239781,2.772588722239781,0.3333,0.66667,0.25,0.005999999999999783,-0.1515,0.43,0.51,0.826,2,0,0
2026-01-29,Astralis,NRG,Mirage,3,1,1.66,2.23,59,37,0.467,0.81,2.772588722239781,2.772588722239781,0.25,0.66667,0.5,-0.09199999999999986,0.0879,0.51,0.67,0.741,2,0,0
2026-01-29,Astralis,NRG,Inferno,3,1,1.66,2.23,59,37,0.467,0.81,2.772588722239781,2.772588722239781,0.5,0.66667,0.5,-0.09199999999999986,0.0879,0.51,0.67,0.741,2,0,1
2026-01-29,Astralis,NRG,Overpass,3,1,1.66,2.23,59,37,0.467,0.81,2.772588722239781,2.772588722239781,0.8,0.666667,0.5,-0.09199999999999986,0.0879,0.51,0.67,0.741,2,0,0
2026-01-29,Legacy,FUT,Dust2,3,1,2.23,1.66,11,125,0.5,0.72,2.772588722239781,2.772588722239781,0.5,0.4,0.6,0.018,0.013499999999999998,0.5,0.61,0.559,0,0,0
2026-01-29,Legacy,FUT,Ancient,3,1,2.23,1.66,11,125,0.5,0.72,2.772588722239781,2.772588722239781,0.25,0.69,0.6,0.018,0.013499999999999998,0.5,0.61,0.559,0,0,0
2026-01-29,paiN,B8,Dust2,3,1,1.9,1.9,6,-145,0.375,0.529,2.772588722239781,2.772588722239781,0.2,0.67,0.4444444444444444,0.058,0.0522,0.61,0.55,0.51,2,1,1
2026-01-29,paiN,B8,Mirage,3,1,1.9,1.9,6,-145,0.375,0.529,2.772588722239781,2.772588722239781,0.3333,0.5,0.4444444444444444,0.058,0.0522,0.61,0.55,0.51,2,1,1
2026-01-29,Liquid,G2,Mirage,3,1,2.77,1.45,36,-130,0.533,0.5,2.833213344056216,2.772588722239781,0.62,0.66,0.25,-0.06,-0.054,0.52,0.53,0.393,0,0,0
2026-01-29,Liquid,G2,Inferno,3,1,2.77,1.45,36,-130,0.533,0.5,2.833213344056216,2.772588722239781,0.4,0.5,0.25,-0.06,-0.054,0.52,0.53,0.393,0,0,1
2026-01-29,Liquid,G2,Anubis,3,1,2.77,1.45,36,-130,0.533,0.5,2.833213344056216,2.772588722239781,0.5,0.5,0.25,-0.06,-0.054,0.52,0.53,0.393,0,0,0
2026-01-29,NinjasinPyjamas,PassionUA,Overpass,3,1,1.68,2.19,-59,17,0.611,0.45,2.833213344056216,2.772588722239781,0.67,0.5,0.5,-0.024,-0.177,0.53,0.53,0.519,1,0,0
2026-01-29,NinjasinPyjamas,PassionUA,Nuke,3,1,1.68,2.19,-59,17,0.611,0.45,2.833213344056216,2.772588722239781,0.57,0.3333,0.5,-0.024,-0.177,0.53,0.53,0.519,1,0,1
2026-01-29,NinjasinPyjamas,PassionUA,Anubis,3,1,1.68,2.19,-59,17,0.611,0.45,2.833213344056216,2.772588722239781,0.5,0.5,0.5,-0.024,-0.177,0.53,0.53,0.519,1,0,1
2026-01-29,paiN,Aurora,Mirage,3,1,2.57,1.51,-7,-140,0.375,0.538,2.833213344056216,2.772588722239781,0.5,0.42857142857142855,0.222222222,0.064,0.0576,0.61,0.54,0.421,2,1,0
2026-01-29,paiN,Aurora,Overpass,3,1,2.57,1.51,-7,-140,0.375,0.538,2.833213344056216,2.772588722239781,0.25,0.75,0.222222222,0.064,0.0576,0.61,0.54,0.421,2,1,0
2026-01-29,BC.Game,NinjasinPyjamas,Dust2,3,1,2.77,1.45,-39,-15,0.375,0.667,2.833213344056216,2.772588722239781,0.33333,0.5,0.42857142857142855,-0.07399999999999995,-0.055499999999999966,0.33,0.53,0.414,2,1,1
