date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-01-28,Aurora,GamerLegion,Nuke,3,1,1.38,2.8,100,143,0.533,0.579,2.772588722239781,2.833213344056216,0.6,0.67,0.5714285714285714,0.0019999999999997797,0.27049999999999974,0.54,0.71,0.479,1,1,1
2026-01-28,GamerLegion,Aurora,Nuke,3,1,2.8,1.38,-100,-143,0.579,0.533,2.833213344056216,2.772588722239781,0.67,0.6,0.5714285714285714,-0.0019999999999997797,-0.27049999999999974,0.71,0.54,0.521,1,1,0
2026-01-28,Aurora,GamerLegion,Dust2,3,1,1.38,2.8,100,143,0.533,0.579,2.772588722239781,2.833213344056216,0.83,0.14,0.5714285714285714,0.0019999999999997797,0.27049999999999974,0.54,0.71,0.479,1,1,1
2026-01-28,GamerLegion,Aurora,Dust2,3,1,2.8,1.38,-100,-143,0.579,0.533,2.833213344056216,2.772588722239781,0.14,0.83,0.5714285714285714,-0.0019999999999997797,-0.27049999999999974,0.71,0.54,0.521,1,1,0
2026-01-28,HEROIC,PARIVISION,Inferno,3,1,2.16,1.62,-112,-320,0.615,0.684,2.70805020110221,2.833213344056216,0.67,0.5,0.5,-0.10400000000000009,-0.20720000000000005,0.51,0.65,0.163,1,1,0
2026-01-28,PARIVISION,HEROIC,Inferno,3,1,1.62,2.16,112,320,0.684,0.615,2.833213344056216,2.70805020110221,0.5,0.67,0.5,0.10400000000000009,0.20720000000000005,0.65,0.51,0.837,1,1,1
2026-01-28,HEROIC,PARIVISION,Dust2,3,1,2.16,1.62,-112,-320,0.615,0.684,2.70805020110221,2.833213344056216,0.4,0.875,0.5,-0.10400000000000009,-0.20720000000000005,0.51,0.65,0.163,1,1,1
2026-01-28,PARIVISION,HEROIC,Dust2,3,1,1.62,2.16,112,320,0.684,0.615,2.833213344056216,2.70805020110221,0.875,0.4,0.5,0.10400000000000009,0.20720000000000005,0.65,0.51,0.837,1,1,0
2026-01-28,HEROIC,PARIVISION,Ancient,3,1,2.16,1.62,-112,-320,0.615,0.684,2.70805020110221,2.833213344056216,0.6,0.71,0.5,-0.10400000000000009,-0.20720000000000005,0.51,0.65,0.163,1,1,0
2026-01-28,PARIVISION,HEROIC,Ancient,3,1,1.62,2.16,112,320,0.684,0.615,2.833213344056216,2.70805020110221,0.71,0.6,0.5,0.10400000000000009,0.20720000000000005,0.65,0.51,0.837,1,1,1
2026-01-28,Liquid,NinjasinPyjamas,Nuke,3,1,1.66,2.1,64,96,0.562,0.579,2.772588722239781,2.772588722239781,0.6,0.67,0.6,-0.03000000000000025,0.13319999999999976,0.52,0.53,0.516,0,1,1
2026-01-28,NinjasinPyjamas,Liquid,Nuke,3,1,2.1,1.66,-64,-96,0.579,0.562,2.772588722239781,2.772588722239781,0.67,0.6,0.6,0.03000000000000025,-0.13319999999999976,0.53,0.52,0.484,1,0,0
2026-01-28,Liquid,NinjasinPyjamas,Mirage,3,1,1.66,2.1,64,96,0.562,0.579,2.772588722239781,2.772588722239781,0.62,0.75,0.6,-0.03000000000000025,0.13319999999999976,0.52,0.53,0.516,0,1,1
2026-01-28,NinjasinPyjamas,Liquid,Mirage,3,1,2.1,1.66,-64,-96,0.579,0.562,2.772588722239781,2.772588722239781,0.75,0.62,0.6,0.03000000000000025,-0.13319999999999976,0.53,0.52,0.484,1,0,0
2026-01-28,PassionUA,G2,Overpass,3,1,3.33,1.28,-75,-85,0.474,0.444,2.772588722239781,2.772588722239781,0.4,0.2,0.25,-0.03600000000000003,-0.1422,0.53,0.52,0.119,0,0,1
2026-01-28,G2,PassionUA,Overpass,3,1,1.28,3.33,75,85,0.444,0.474,2.772588722239781,2.772588722239781,0.2,0.4,0.25,0.03600000000000003,0.1422,0.52,0.53,0.881,0,0,0
2026-01-28,PassionUA,G2,Dust2,3,1,3.33,1.28,-75,-85,0.474,0.444,2.772588722239781,2.772588722239781,0.5,0.5,0.25,-0.03600000000000003,-0.1422,0.53,0.52,0.119,0,0,0
2026-01-28,G2,PassionUA,Dust2,3,1,1.28,3.33,75,85,0.444,0.474,2.772588722239781,2.772588722239781,0.5,0.5,0.25,0.03600000000000003,0.1422,0.52,0.53,0.881,0,0,1
2026-01-28,PassionUA,G2,Mirage,3,1,3.33,1.28,-75,-85,0.474,0.444,2.772588722239781,2.772588722239781,0.25,0.5,0.25,-0.03600000000000003,-0.1422,0.53,0.52,0.119,0,0,0
2026-01-28,G2,PassionUA,Mirage,3,1,1.28,3.33,75,85,0.444,0.474,2.772588722239781,2.772588722239781,0.5,0.25,0.25,0.03600000000000003,0.1422,0.52,0.53,0.881,0,0,1
2026-01-28,Legacy,BC.Game,Overpass,3,1,1.47,2.50,58,92,0.556,0.467,2.772588722239781,2.772588722239781,0.66,0.2,0.6,0.02400000000000002,0.18389999999999995,0.6,0.5,0.29,0,2,0
2026-01-28,BC.Game,Legacy,Overpass,3,1,2.50,1.47,-58,-92,0.467,0.556,2.772588722239781,2.772588722239781,0.2,0.66,0.6,-0.02400000000000002,-0.18389999999999995,0.5,0.6,0.71,2,0,1
2026-01-28,Legacy,BC.Game,Inferno,3,1,1.47,2.50,58,92,0.556,0.467,2.772588722239781,2.772588722239781,0.88,0.82,0.6,0.02400000000000002,0.18389999999999995,0.6,0.5,0.29,0,2,0
2026-01-28,BC.Game,Legacy,Inferno,3,1,2.50,1.47,-58,-92,0.467,0.556,2.772588722239781,2.772588722239781,0.82,0.88,0.6,-0.02400000000000002,-0.18389999999999995,0.5,0.6,0.71,2,0,1
2026-01-28,FUT,3DMAX,Ancient,3,1,1.9,1.9,-95,11,0.733,0.312,2.833213344056216,2.772588722239781,0.67,0.4,0.5,0.05400000000000027,-0.11549999999999983,0.63,0.51,0.796,0,0,1
2026-01-28,3DMAX,FUT,Ancient,3,1,1.9,1.9,95,-11,0.312,0.733,2.772588722239781,2.833213344056216,0.4,0.67,0.5,-0.05400000000000027,0.11549999999999983,0.51,0.63,0.20399999999999996,0,0,0
