date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-04-13,Vitality,REDCanids,Nuke,3,1,1.06,9.07,982,842,0.95,0.61,2.772588722239781,2.772588722239781,0.82,0.74,0.5,0.048,0.4832,0.73,0.59,0.844,0,1,1
2026-04-13,Vitality,REDCanids,Overpass,3,1,1.06,9.07,982,842,0.95,0.61,2.772588722239781,2.772588722239781,0.909,0.5,0.5,0.048,0.4832,0.73,0.59,0.844,0,1,1
2026-04-13,GentleMates,G2,Inferno,3,1,2.77,1.45,-129,-310,0.696,0.636,2.772588722239781,2.772588722239781,0.88,0.56,0.6,-0.06,-0.2127,0.56,0.56,0.318,0,1,1
2026-04-13,GentleMates,G2,Mirage,3,1,2.77,1.45,-129,-310,0.696,0.636,2.772588722239781,2.772588722239781,0.43,0.56,0.6,-0.06,-0.2127,0.56,0.56,0.318,0,1,0
2026-04-13,GentleMates,G2,Overpass,3,1,2.77,1.45,-129,-310,0.696,0.636,2.772588722239781,2.772588722239781,0.5,0.5,0.6,-0.06,-0.2127,0.56,0.56,0.318,0,1,0
2026-04-13,Spirit,Liquid,Ancient,3,1,1.13,5.94,226,363,0.688,0.44,2.772588722239781,2.772588722239781,0.5,0.333,0.857142,0.098,0.3595,0.65,0.48,0.8,0,1,1
2026-04-13,Spirit,Liquid,Dust2,3,1,1.13,5.94,226,363,0.688,0.44,2.772588722239781,2.772588722239781,0.88,0.5,0.857142,0.098,0.3595,0.65,0.48,0.8,0,1,1
2026-04-13,3DMAX,Falcons,Inferno,3,1,5.3,1.16,330,159,0.5,0.667,2.772588722239781,2.772588722239781,0.47,0.44,0.333,-0.05,-0.1556,0.55,0.53,0.204,1,0,0
2026-04-13,3DMAX,Falcons,Ancient,3,1,5.3,1.16,330,159,0.5,0.667,2.772588722239781,2.772588722239781,0.333,0.5,0.333,-0.05,-0.1556,0.55,0.53,0.204,1,0,0
2026-04-13,FURIA,PassionUA,Inferno,3,1,1.17,5.19,417,493,0.6,0.483,2.772588722239781,2.772588722239781,0.42,0.75,0.5,0.0434,0.301,0.57,0.53,0.826,0,1,1
2026-04-13,FURIA,PassionUA,Mirage,3,1,1.17,5.19,417,493,0.6,0.483,2.772588722239781,2.772588722239781,0.5,0.38,0.5,0.0434,0.301,0.57,0.53,0.826,0,1,1
2026-04-13,B8,NaVi,Ancient,3,1,4.67,1.2,414,355,0.483,0.609,2.772588722239781,2.772588722239781,0.69,0.62,0.909,-0.036,-0.14,0.55,0.62,0.086,0,0,0
2026-04-13,B8,NaVi,Inferno,3,1,4.67,1.2,414,355,0.483,0.609,2.772588722239781,2.772588722239781,0.22,0.55,0.909,-0.036,-0.14,0.55,0.62,0.086,0,0,1
2026-04-13,B8,NaVi,Dust2,3,1,4.67,1.2,414,355,0.483,0.609,2.772588722239781,2.772588722239781,0.58,0.6,0.909,-0.036,-0.14,0.55,0.62,0.086,0,0,0
2026-04-13,Aurora,HOTU,Dust2,3,1,1.21,4.44,341,514,0.581,0.632,2.772588722239781,2.772588722239781,0.75,0.667,0.6,-0.048,0.2255,0.55,0.61,0.857,0,0,1
2026-04-13,Aurora,HOTU,Mirage,3,1,1.21,4.44,341,514,0.581,0.632,2.772588722239781,2.772588722239781,0.46,0.53,0.6,-0.048,0.2255,0.55,0.61,0.857,0,0,1
2026-04-13,Legacy,MOUZ,Dust2,3,1,3.59,1.3,259,228,0.583,0.6,2.772588722239781,2.772588722239781,0.56,0.333,0.2,0.000001,-0.00005,0.58,0.59,0.411,0,0,1
2026-04-13,Legacy,MOUZ,Inferno,3,1,3.59,1.3,259,228,0.583,0.6,2.772588722239781,2.772588722239781,0.58,0.58,0.2,0.000001,-0.00005,0.58,0.59,0.411,0,0,0
2026-04-13,Legacy,MOUZ,Mirage,3,1,3.59,1.3,259,228,0.583,0.6,2.772588722239781,2.772588722239781,0.78,0.78,0.2,0.000001,-0.00005,0.58,0.59,0.411,0,0,0
2026-04-14,Vitality,G2,Mirage,3,1,1.09,7.47,801,300,0.952,0.647,2.772588722239781,2.772588722239781,0.57,0.59,0.6875,0.018,0.13,0.73,0.56,0.817,0,1,0
2026-04-14,Vitality,G2,Inferno,3,1,1.09,7.47,801,300,0.952,0.647,2.772588722239781,2.772588722239781,0.82,0.5,0.6875,0.018,0.13,0.73,0.56,0.817,0,1,1
2026-04-14,Vitality,G2,Dust2,3,1,1.09,7.47,801,300,0.952,0.647,2.772588722239781,2.772588722239781,0.8334,0.63,0.6875,0.018,0.13,0.73,0.56,0.817,0,1,1
2026-04-14,REDCanids,GentleMates,Mirage,3,1,2.77,1.45,31,265,0.595,0.667,2.772588722239781,2.772588722239781,0.57,0.38,0.5,0.012,-0.1512,0.58,0.55,0.194,1,0,1
2026-04-14,REDCanids,GentleMates,Ancient,3,1,2.77,1.45,31,265,0.595,0.667,2.772588722239781,2.772588722239781,0.53,0.55,0.5,0.012,-0.1512,0.58,0.55,0.194,1,0,0
2026-04-14,REDCanids,GentleMates,Overpass,3,1,2.77,1.45,31,265,0.595,0.667,2.772588722239781,2.772588722239781,0.44,0.44,0.5,0.012,-0.1512,0.58,0.55,0.194,1,0,1
2026-04-14,Spirit,Falcons,Anubis,3,1,1.96,1.86,-123,-41,0.706,0.684,2.772588722239781,2.772588722239781,0.75,0.6,0.3636,0.038,0.038,0.65,0.53,0.49,0,0,0
2026-04-14,Spirit,Falcons,Mirage,3,1,1.96,1.86,-123,-41,0.706,0.684,2.772588722239781,2.772588722239781,0.57,0.73,0.3636,0.038,0.038,0.65,0.53,0.49,0,0,0
2026-04-14,Liquid,3DMAX,Nuke,3,1,2.08,1.75,-60,-236,0.423,0.488,2.772588722239781,2.772588722239781,0.38,0.62,0.285714,-0.014,-0.1686,0.48,0.54,0.434,1,1,0
2026-04-14,Liquid,3DMAX,Ancient,3,1,2.08,1.75,-60,-236,0.423,0.488,2.772588722239781,2.772588722239781,0.31,0.31,0.285714,-0.014,-0.1686,0.48,0.54,0.434,1,1,0
2026-04-14,NaVi,FURIA,Mirage,3,1,1.72,2.13,36,122,0.625,0.615,2.772588722239781,2.772588722239781,0.44,0.53,0.56,-0.032,-0.032,0.62,0.58,0.569,0,0,1
2026-04-14,NaVi,FURIA,Dust2,3,1,1.72,2.13,36,122,0.625,0.615,2.772588722239781,2.772588722239781,0.62,0.69,0.56,-0.032,-0.032,0.62,0.58,0.569,0,0,0
2026-04-14,NaVi,FURIA,Nuke,3,1,1.72,2.13,36,122,0.625,0.615,2.772588722239781,2.772588722239781,0.8,0.56,0.56,-0.032,-0.032,0.62,0.58,0.569,0,0,0
2026-04-14,B8,PassionUA,Overpass,3,1,1.42,2.88,57,259,0.467,0.467,2.772588722239781,2.772588722239781,0.2,0.69,0.75,-0.026,0.1362,0.55,0.53,0.798,0,0,1
2026-04-14,B8,PassionUA,Mirage,3,1,1.42,2.88,57,259,0.467,0.467,2.772588722239781,2.772588722239781,0.56,0.35,0.75,-0.026,0.1362,0.55,0.53,0.798,0,0,1
2026-04-14,MOUZ,Aurora,Dust2,3,1,1.56,2.44,-72,-5,0.619,0.581,2.772588722239781,2.772588722239781,0.31,0.76,0.55,0.048,0.048,0.59,0.55,0.263,0,0,1
2026-04-14,MOUZ,Aurora,Mirage,3,1,1.56,2.44,-72,-5,0.619,0.581,2.772588722239781,2.772588722239781,0.8,0.46,0.55,0.048,0.048,0.59,0.55,0.263,0,0,1
2026-04-14,Legacy,HOTU,Dust2,3,1,1.46,2.73,82,264,0.56,0.632,2.772588722239781,2.772588722239781,0.59,0.64,0.5,0.0000001,0.0000005,0.57,0.61,0.792,0,0,0
2026-04-14,Legacy,HOTU,Ancient,3,1,1.46,2.73,82,264,0.56,0.632,2.772588722239781,2.772588722239781,0.64,0.4,0.5,0.0000001,0.0000005,0.57,0.61,0.792,0,0,0
