date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-04-13,Vitality,REDCanids,Nuke,3,1,1.06,9.07,982,842,0.95,0.61,2.772588722239781,2.772588722239781,0.82,0.74,0.5,0.048,0.4832,0.73,0.59,0.844,0,1,1
2026-04-13,REDCanids,Vitality,Nuke,3,1,9.07,1.06,-982,-842,0.61,0.95,2.772588722239781,2.772588722239781,0.74,0.82,0.5,-0.048,-0.4832,0.59,0.73,0.15600000000000003,1,0,0
2026-04-13,Vitality,REDCanids,Overpass,3,1,1.06,9.07,982,842,0.95,0.61,2.772588722239781,2.772588722239781,0.909,0.5,0.5,0.048,0.4832,0.73,0.59,0.844,0,1,1
2026-04-13,REDCanids,Vitality,Overpass,3,1,9.07,1.06,-982,-842,0.61,0.95,2.772588722239781,2.772588722239781,0.5,0.909,0.5,-0.048,-0.4832,0.59,0.73,0.15600000000000003,1,0,0
2026-04-13,GentleMates,G2,Inferno,3,1,2.77,1.45,-129,-310,0.696,0.636,2.772588722239781,2.772588722239781,0.88,0.56,0.6,-0.06,-0.2127,0.56,0.56,0.318,0,1,1
2026-04-13,G2,GentleMates,Inferno,3,1,1.45,2.77,129,310,0.636,0.696,2.772588722239781,2.772588722239781,0.56,0.88,0.6,0.06,0.2127,0.56,0.56,0.6819999999999999,1,0,0
2026-04-13,GentleMates,G2,Mirage,3,1,2.77,1.45,-129,-310,0.696,0.636,2.772588722239781,2.772588722239781,0.43,0.56,0.6,-0.06,-0.2127,0.56,0.56,0.318,0,1,0
2026-04-13,G2,GentleMates,Mirage,3,1,1.45,2.77,129,310,0.636,0.696,2.772588722239781,2.772588722239781,0.56,0.43,0.6,0.06,0.2127,0.56,0.56,0.6819999999999999,1,0,1
2026-04-13,GentleMates,G2,Overpass,3,1,2.77,1.45,-129,-310,0.696,0.636,2.772588722239781,2.772588722239781,0.5,0.5,0.6,-0.06,-0.2127,0.56,0.56,0.318,0,1,0
2026-04-13,G2,GentleMates,Overpass,3,1,1.45,2.77,129,310,0.636,0.696,2.772588722239781,2.772588722239781,0.5,0.5,0.6,0.06,0.2127,0.56,0.56,0.6819999999999999,1,0,1
2026-04-13,Spirit,Liquid,Ancient,3,1,1.13,5.94,226,363,0.688,0.44,2.772588722239781,2.772588722239781,0.5,0.333,0.857142,0.098,0.3595,0.65,0.48,0.8,0,1,1
2026-04-13,Liquid,Spirit,Ancient,3,1,5.94,1.13,-226,-363,0.44,0.688,2.772588722239781,2.772588722239781,0.333,0.5,0.857142,-0.098,-0.3595,0.48,0.65,0.19999999999999996,1,0,0
2026-04-13,Spirit,Liquid,Dust2,3,1,1.13,5.94,226,363,0.688,0.44,2.772588722239781,2.772588722239781,0.88,0.5,0.857142,0.098,0.3595,0.65,0.48,0.8,0,1,1
2026-04-13,Liquid,Spirit,Dust2,3,1,5.94,1.13,-226,-363,0.44,0.688,2.772588722239781,2.772588722239781,0.5,0.88,0.857142,-0.098,-0.3595,0.48,0.65,0.19999999999999996,1,0,0
2026-04-13,3DMAX,Falcons,Inferno,3,1,5.3,1.16,330,159,0.5,0.667,2.772588722239781,2.772588722239781,0.47,0.44,0.333,-0.05,-0.1556,0.55,0.53,0.204,1,0,0
2026-04-13,Falcons,3DMAX,Inferno,3,1,1.16,5.3,-330,-159,0.667,0.5,2.772588722239781,2.772588722239781,0.44,0.47,0.333,0.05,0.1556,0.53,0.55,0.796,0,1,1
2026-04-13,3DMAX,Falcons,Ancient,3,1,5.3,1.16,330,159,0.5,0.667,2.772588722239781,2.772588722239781,0.333,0.5,0.333,-0.05,-0.1556,0.55,0.53,0.204,1,0,0
2026-04-13,Falcons,3DMAX,Ancient,3,1,1.16,5.3,-330,-159,0.667,0.5,2.772588722239781,2.772588722239781,0.5,0.333,0.333,0.05,0.1556,0.53,0.55,0.796,0,1,1
2026-04-13,FURIA,PassionUA,Inferno,3,1,1.17,5.19,417,493,0.6,0.483,2.772588722239781,2.772588722239781,0.42,0.75,0.5,0.0434,0.301,0.57,0.53,0.826,0,1,1
2026-04-13,PassionUA,FURIA,Inferno,3,1,5.19,1.17,-417,-493,0.483,0.6,2.772588722239781,2.772588722239781,0.75,0.42,0.5,-0.0434,-0.301,0.53,0.57,0.17400000000000004,1,0,0
2026-04-13,FURIA,PassionUA,Mirage,3,1,1.17,5.19,417,493,0.6,0.483,2.772588722239781,2.772588722239781,0.5,0.38,0.5,0.0434,0.301,0.57,0.53,0.826,0,1,1
2026-04-13,PassionUA,FURIA,Mirage,3,1,5.19,1.17,-417,-493,0.483,0.6,2.772588722239781,2.772588722239781,0.38,0.5,0.5,-0.0434,-0.301,0.53,0.57,0.17400000000000004,1,0,0
2026-04-13,B8,NaVi,Ancient,3,1,4.67,1.2,414,355,0.483,0.609,2.772588722239781,2.772588722239781,0.69,0.62,0.909,-0.036,-0.14,0.55,0.62,0.086,0,0,0
2026-04-13,NaVi,B8,Ancient,3,1,1.2,4.67,-414,-355,0.609,0.483,2.772588722239781,2.772588722239781,0.62,0.69,0.909,0.036,0.14,0.62,0.55,0.914,0,0,1
2026-04-13,B8,NaVi,Inferno,3,1,4.67,1.2,414,355,0.483,0.609,2.772588722239781,2.772588722239781,0.22,0.55,0.909,-0.036,-0.14,0.55,0.62,0.086,0,0,1
2026-04-13,NaVi,B8,Inferno,3,1,1.2,4.67,-414,-355,0.609,0.483,2.772588722239781,2.772588722239781,0.55,0.22,0.909,0.036,0.14,0.62,0.55,0.914,0,0,0
2026-04-13,B8,NaVi,Dust2,3,1,4.67,1.2,414,355,0.483,0.609,2.772588722239781,2.772588722239781,0.58,0.6,0.909,-0.036,-0.14,0.55,0.62,0.086,0,0,0
2026-04-13,NaVi,B8,Dust2,3,1,1.2,4.67,-414,-355,0.609,0.483,2.772588722239781,2.772588722239781,0.6,0.58,0.909,0.036,0.14,0.62,0.55,0.914,0,0,1
2026-04-13,Aurora,HOTU,Dust2,3,1,1.21,4.44,341,514,0.581,0.632,2.772588722239781,2.772588722239781,0.75,0.667,0.6,-0.048,0.2255,0.55,0.61,0.857,0,0,1
2026-04-13,HOTU,Aurora,Dust2,3,1,4.44,1.21,-341,-514,0.632,0.581,2.772588722239781,2.772588722239781,0.667,0.75,0.6,0.048,-0.2255,0.61,0.55,0.14300000000000002,0,0,0
