date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-05-09,Aurora,HEROIC,Nuke,3,1,1.5,2.61,178,258,0.577,0.552,2.772588722239781,2.772588722239781,0.25,0.62,0.25,0.01,0.2685,0.55,0.52,0.864,0,0,0
2026-05-09,HEROIC,Aurora,Nuke,3,1,2.61,1.5,-178,-258,0.552,0.577,2.772588722239781,2.772588722239781,0.62,0.25,0.25,-0.01,-0.2685,0.52,0.55,0.136,0,0,1
2026-05-09,Aurora,HEROIC,Dust2,3,1,1.5,2.61,178,258,0.577,0.552,2.772588722239781,2.772588722239781,0.71,0.53,0.25,0.01,0.2685,0.55,0.52,0.864,0,0,0
2026-05-09,HEROIC,Aurora,Dust2,3,1,2.61,1.5,-178,-258,0.552,0.577,2.772588722239781,2.772588722239781,0.53,0.71,0.25,-0.01,-0.2685,0.52,0.55,0.136,0,0,1
2026-05-09,G2,FisherCollege,Inferno,3,1,1.04,11.0,152,586,0.588,0.697,2.772588722239781,2.772588722239781,0.55,0.5,0.5,0.012,0.1746,0.55,0.5,0.674,1,0,1
2026-05-09,FisherCollege,G2,Inferno,3,1,11.0,1.04,-152,-586,0.697,0.588,2.772588722239781,2.772588722239781,0.5,0.55,0.5,-0.012,-0.1746,0.5,0.55,0.32599999999999996,0,1,0
2026-05-09,G2,FisherCollege,Ancient,3,1,1.04,11.0,152,586,0.588,0.697,2.772588722239781,2.772588722239781,0.79,0.63,0.5,0.012,0.1746,0.55,0.5,0.674,1,0,1
2026-05-09,FisherCollege,G2,Ancient,3,1,11.0,1.04,-152,-586,0.697,0.588,2.772588722239781,2.772588722239781,0.63,0.79,0.5,-0.012,-0.1746,0.5,0.55,0.32599999999999996,0,1,0
2026-05-09,TheMongolz,magic,Mirage,3,1,1.23,3.96,233,518,0.625,0.68,2.772588722239781,2.772588722239781,0.52,0.71,0.5,-0.048,0.2295,0.6,0.95,0.853,0,0,1
2026-05-09,magic,TheMongolz,Mirage,3,1,3.96,1.23,-233,-518,0.68,0.625,2.772588722239781,2.772588722239781,0.71,0.52,0.5,0.048,-0.2295,0.95,0.6,0.14700000000000002,0,0,0
2026-05-09,TheMongolz,magic,Inferno,3,1,1.23,3.96,233,518,0.625,0.68,2.772588722239781,2.772588722239781,0.5,0.6,0.5,-0.048,0.2295,0.6,0.95,0.853,0,0,1
2026-05-09,magic,TheMongolz,Inferno,3,1,3.96,1.23,-233,-518,0.68,0.625,2.772588722239781,2.772588722239781,0.6,0.5,0.5,0.048,-0.2295,0.95,0.6,0.14700000000000002,0,0,0
2026-05-09,MOUZ,GentleMates,Nuke,3,1,1.35,3.25,152,399,0.526,0.619,2.772588722239781,2.772588722239781,0.25,0.6,0.75,0.07,0.222,0.59,0.5,0.831,2,0,1
2026-05-09,GentleMates,MOUZ,Nuke,3,1,3.25,1.35,-152,-399,0.619,0.526,2.772588722239781,2.772588722239781,0.6,0.25,0.75,-0.07,-0.222,0.5,0.59,0.16900000000000004,0,2,0
2026-05-09,MOUZ,GentleMates,Mirage,3,1,1.35,3.25,152,399,0.526,0.619,2.772588722239781,2.772588722239781,0.73,0.25,0.75,0.07,0.222,0.59,0.5,0.831,2,0,0
2026-05-09,GentleMates,MOUZ,Mirage,3,1,3.25,1.35,-152,-399,0.619,0.526,2.772588722239781,2.772588722239781,0.25,0.73,0.75,-0.07,-0.222,0.5,0.59,0.16900000000000004,0,2,1
2026-05-09,MOUZ,GentleMates,Ancient,3,1,1.35,3.25,152,399,0.526,0.619,2.772588722239781,2.772588722239781,0.333,0.78,0.75,0.07,0.222,0.59,0.5,0.831,2,0,1
2026-05-09,GentleMates,MOUZ,Ancient,3,1,3.25,1.35,-152,-399,0.619,0.526,2.772588722239781,2.772588722239781,0.78,0.333,0.75,-0.07,-0.222,0.5,0.59,0.16900000000000004,0,2,0
2026-05-09,Spirit,TheHuns,Dust2,3,1,1.06,9.35,319,678,0.647,0.625,2.772588722239781,2.772588722239781,0.71,0.58,0.5,0.078,0.612,0.65,0.61,0.898,0,0,1
2026-05-09,TheHuns,Spirit,Dust2,3,1,9.35,1.06,-319,-678,0.625,0.647,2.772588722239781,2.772588722239781,0.58,0.71,0.5,-0.078,-0.612,0.61,0.65,0.10199999999999998,0,0,0
2026-05-09,Spirit,TheHuns,Ancient,3,1,1.06,9.35,319,678,0.647,0.625,2.772588722239781,2.772588722239781,0.667,0.54,0.5,0.078,0.612,0.65,0.61,0.898,0,0,1
2026-05-09,TheHuns,Spirit,Ancient,3,1,9.35,1.06,-319,-678,0.625,0.647,2.772588722239781,2.772588722239781,0.54,0.667,0.5,-0.078,-0.612,0.61,0.65,0.10199999999999998,0,0,0
2026-05-09,Falcons,K27,Dust2,3,1,1.07,8.62,310,482,0.714,0.667,2.772588722239781,2.772588722239781,0.333,0.56,0.5,-0.026,0.4236,0.52,0.64,0.788,1,1,1
2026-05-09,K27,Falcons,Dust2,3,1,8.62,1.07,-310,-482,0.667,0.714,2.772588722239781,2.772588722239781,0.56,0.333,0.5,0.026,-0.4236,0.64,0.52,0.21199999999999997,1,1,0
2026-05-09,Falcons,K27,Ancient,3,1,1.07,8.62,310,482,0.714,0.667,2.772588722239781,2.772588722239781,0.67,0.69,0.5,-0.026,0.4236,0.52,0.64,0.788,1,1,1
2026-05-09,K27,Falcons,Ancient,3,1,8.62,1.07,-310,-482,0.667,0.714,2.772588722239781,2.772588722239781,0.69,0.67,0.5,0.026,-0.4236,0.64,0.52,0.21199999999999997,1,1,0
2026-05-09,PARIVISION,9z,Inferno,3,1,1.41,2.94,211,238,0.542,0.824,2.772588722239781,2.772588722239781,0.5,0.75,0.5,-0.032,0.0798,0.61,0.67,0.772,0,0,0
2026-05-09,9z,PARIVISION,Inferno,3,1,2.94,1.41,-211,-238,0.824,0.542,2.772588722239781,2.772588722239781,0.75,0.5,0.5,0.032,-0.0798,0.67,0.61,0.22799999999999998,0,0,1
2026-05-09,PARIVISION,9z,Ancient,3,1,1.41,2.94,211,238,0.542,0.824,2.772588722239781,2.772588722239781,0.86,0.73,0.5,-0.032,0.0798,0.61,0.67,0.772,0,0,0
2026-05-09,9z,PARIVISION,Ancient,3,1,2.94,1.41,-211,-238,0.824,0.542,2.772588722239781,2.772588722239781,0.73,0.86,0.5,0.032,-0.0798,0.67,0.61,0.22799999999999998,0,0,1
2026-05-09,FURIA,Monte,Nuke,3,1,1.44,2.82,325,200,0.478,0.692,2.772588722239781,2.772588722239781,0.29,0.57,0.5,0.04,0.1466,0.57,0.58,0.671,0,0,1
2026-05-09,Monte,FURIA,Nuke,3,1,2.82,1.44,-325,-200,0.692,0.478,2.772588722239781,2.772588722239781,0.57,0.29,0.5,-0.04,-0.1466,0.58,0.57,0.32899999999999996,0,0,0
2026-05-09,FURIA,Monte,Overpass,3,1,1.44,2.82,325,200,0.478,0.692,2.772588722239781,2.772588722239781,0.5,0.2,0.5,0.04,0.1466,0.57,0.58,0.671,0,0,1
2026-05-09,Monte,FURIA,Overpass,3,1,2.82,1.44,-325,-200,0.692,0.478,2.772588722239781,2.772588722239781,0.2,0.5,0.5,-0.04,-0.1466,0.58,0.57,0.32899999999999996,0,0,0
2026-05-10,MOUZ,G2,Dust2,3,1,2.23,1.66,14,51,0.611,0.6,2.772588722239781,2.772588722239781,0.2,0.55,0.8334,-0.024,-0.0216,0.59,0.56,0.453,2,1,0
2026-05-10,G2,MOUZ,Dust2,3,1,1.66,2.23,-14,-51,0.6,0.611,2.772588722239781,2.772588722239781,0.55,0.2,0.8334,0.024,0.0216,0.56,0.59,0.5469999999999999,1,2,1
2026-05-10,MOUZ,G2,Mirage,3,1,2.23,1.66,14,51,0.611,0.6,2.772588722239781,2.772588722239781,0.667,0.5,0.8334,-0.024,-0.0216,0.59,0.56,0.453,2,1,1
2026-05-10,G2,MOUZ,Mirage,3,1,1.66,2.23,-14,-51,0.6,0.611,2.772588722239781,2.772588722239781,0.5,0.667,0.8334,0.024,0.0216,0.56,0.59,0.5469999999999999,1,2,0
2026-05-10,MOUZ,G2,Inferno,3,1,2.23,1.66,14,51,0.611,0.6,2.772588722239781,2.772588722239781,0.6,0.58,0.8334,-0.024,-0.0216,0.59,0.56,0.453,2,1,1
2026-05-10,G2,MOUZ,Inferno,3,1,1.66,2.23,-14,-51,0.6,0.611,2.772588722239781,2.772588722239781,0.58,0.6,0.8334,0.024,0.0216,0.56,0.59,0.5469999999999999,1,2,0
2026-05-10,K27,GentleMates,Nuke,3,1,2.21,1.68,-17,12,0.651,0.591,2.772588722239781,2.772588722239781,0.667,0.55,0.5,-0.034,-0.02475,0.64,0.63,0.425,1,0,0
2026-05-10,GentleMates,K27,Nuke,3,1,1.68,2.21,17,-12,0.591,0.651,2.772588722239781,2.772588722239781,0.55,0.667,0.5,0.034,0.02475,0.63,0.64,0.575,0,1,1
2026-05-10,K27,GentleMates,Overpass,3,1,2.21,1.68,-17,12,0.651,0.591,2.772588722239781,2.772588722239781,0.15,0.38,0.5,-0.034,-0.02475,0.64,0.63,0.425,1,0,1
2026-05-10,GentleMates,K27,Overpass,3,1,1.68,2.21,17,-12,0.591,0.651,2.772588722239781,2.772588722239781,0.38,0.15,0.5,0.034,0.02475,0.63,0.64,0.575,0,1,0
2026-05-10,K27,GentleMates,Ancient,3,1,2.21,1.68,-17,12,0.651,0.591,2.772588722239781,2.772588722239781,0.65,0.7,0.5,-0.034,-0.02475,0.64,0.63,0.425,1,0,0
2026-05-10,GentleMates,K27,Ancient,3,1,1.68,2.21,17,-12,0.591,0.651,2.772588722239781,2.772588722239781,0.7,0.65,0.5,0.034,0.02475,0.63,0.64,0.575,0,1,1
2026-05-10,TheMongolz,Spirit,Dust2,3,1,3.12,1.37,-74,-16,0.64,0.688,2.772588722239781,2.772588722239781,0.56,0.75,0.380952,-0.086,-0.086,0.6,0.65,0.268,0,0,0
2026-05-10,Spirit,TheMongolz,Dust2,3,1,1.37,3.12,74,16,0.688,0.64,2.772588722239781,2.772588722239781,0.75,0.56,0.380952,0.086,0.086,0.65,0.6,0.732,0,0,1
2026-05-10,TheMongolz,Spirit,Ancient,3,1,3.12,1.37,-74,-16,0.64,0.688,2.772588722239781,2.772588722239781,0.56,0.71,0.380952,-0.086,-0.086,0.6,0.65,0.268,0,0,0
2026-05-10,Spirit,TheMongolz,Ancient,3,1,1.37,3.12,74,16,0.688,0.64,2.772588722239781,2.772588722239781,0.71,0.56,0.380952,0.086,0.086,0.65,0.6,0.732,0,0,1
2026-05-10,Aurora,TheHuns,Nuke,3,1,1.08,8.13,324,626,0.556,0.606,2.772588722239781,2.772588722239781,0.22,0.74,0.5,-0.024,0.508,0.54,0.6,0.856,0,0,1
2026-05-10,TheHuns,Aurora,Nuke,3,1,8.13,1.08,-324,-626,0.606,0.556,2.772588722239781,2.772588722239781,0.74,0.22,0.5,0.024,-0.508,0.6,0.54,0.14400000000000002,0,0,0
2026-05-10,Aurora,TheHuns,Dust2,3,1,1.08,8.13,324,626,0.556,0.606,2.772588722239781,2.772588722239781,0.667,0.54,0.5,-0.024,0.508,0.54,0.6,0.856,0,0,1
2026-05-10,TheHuns,Aurora,Dust2,3,1,8.13,1.08,-324,-626,0.606,0.556,2.772588722239781,2.772588722239781,0.54,0.667,0.5,0.024,-0.508,0.6,0.54,0.14400000000000002,0,0,0
2026-05-10,FURIA,HEROIC,Mirage,3,1,1.39,3.01,337,244,0.5,0.567,2.772588722239781,2.772588722239781,0.47,0.56,0.625,0.074,0.05475,0.57,0.52,0.81,0,0,1
2026-05-10,HEROIC,FURIA,Mirage,3,1,3.01,1.39,-337,-244,0.567,0.5,2.772588722239781,2.772588722239781,0.56,0.47,0.625,-0.074,-0.05475,0.52,0.57,0.18999999999999995,0,0,0
2026-05-10,FURIA,HEROIC,Inferno,3,1,1.39,3.01,337,244,0.5,0.567,2.772588722239781,2.772588722239781,0.56,0.6,0.625,0.074,0.05475,0.57,0.52,0.81,0,0,1
2026-05-10,HEROIC,FURIA,Inferno,3,1,3.01,1.39,-337,-244,0.567,0.5,2.772588722239781,2.772588722239781,0.6,0.56,0.625,-0.074,-0.05475,0.52,0.57,0.18999999999999995,0,0,0
2026-05-10,PARIVISION,FisherCollege,Mirage,3,1,1.01,15.0,260,657,0.52,0.667,2.772588722239781,2.772588722239781,0.25,0.64,0.5,0.000001,0.0005,0.61,0.5,0.722,0,0,1
2026-05-10,FisherCollege,PARIVISION,Mirage,3,1,15.0,1.01,-260,-657,0.667,0.52,2.772588722239781,2.772588722239781,0.64,0.25,0.5,-1e-06,-0.0005,0.5,0.61,0.278,0,0,0
2026-05-10,PARIVISION,FisherCollege,Ancient,3,1,1.01,15.0,260,657,0.52,0.667,2.772588722239781,2.772588722239781,0.75,0.58,0.5,0.000001,0.0005,0.61,0.5,0.722,0,0,1
2026-05-10,FisherCollege,PARIVISION,Ancient,3,1,15.0,1.01,-260,-657,0.667,0.52,2.772588722239781,2.772588722239781,0.58,0.75,0.5,-1e-06,-0.0005,0.5,0.61,0.278,0,0,0
2026-05-10,Falcons,9z,Nuke,3,1,1.13,6.03,358,313,0.733,0.806,2.772588722239781,2.772588722239781,0.8,0.68,0.5,-0.048,0.0638,0.54,0.67,0.781,1,0,0
2026-05-10,9z,Falcons,Nuke,3,1,6.03,1.13,-358,-313,0.806,0.733,2.772588722239781,2.772588722239781,0.68,0.8,0.5,0.048,-0.0638,0.67,0.54,0.21899999999999997,0,1,1
2026-05-10,Falcons,9z,Mirage,3,1,1.13,6.03,358,313,0.733,0.806,2.772588722239781,2.772588722239781,0.7,0.5,0.5,-0.048,0.0638,0.54,0.67,0.781,1,0,1
