date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-04-04,FUT,InnerCircle,Dust2,3,1,1.21,4.52,127,426,0.519,0.5,2.772588722239781,2.772588722239781,0.5,0.62,0.7,0.05,0.354,0.6,0.51,0.935,0,1,0
2026-04-04,FUT,InnerCircle,Mirage,3,1,1.21,4.52,127,426,0.519,0.5,2.772588722239781,2.772588722239781,0.74,0.5,0.7,0.05,0.354,0.6,0.51,0.935,0,1,1
2026-04-04,FUT,InnerCircle,Ancient,3,1,1.21,4.52,127,426,0.519,0.5,2.772588722239781,2.772588722239781,0.46,0.53,0.7,0.05,0.354,0.6,0.51,0.935,0,1,1
2026-04-04,3DMAX,FOKUS,Ancient,3,1,1.58,2.39,62,166,0.485,0.727,2.772588722239781,2.772588722239781,0.3,0.9,0.333,-0.024,0.1406999,0.57,0.7,0.395,1,5,0
2026-04-04,3DMAX,FOKUS,Dust2,3,1,1.58,2.39,62,166,0.485,0.727,2.772588722239781,2.772588722239781,0.52,0.5,0.333,-0.024,0.1406999,0.57,0.7,0.395,1,5,1
2026-04-04,3DMAX,FOKUS,Inferno,3,1,1.58,2.39,62,166,0.485,0.727,2.772588722239781,2.772588722239781,0.5,0.86,0.333,-0.024,0.1406999,0.57,0.7,0.395,1,5,0
2026-04-04,NRG,Voca,Inferno,3,1,1.42,2.88,28,103,0.636,0.682,2.772588722239781,2.772588722239781,0.67,0.5,0.7,-0.127999,0.0879,0.65,0.69,0.803,1,2,1
2026-04-04,NRG,Voca,Mirage,3,1,1.42,2.88,28,103,0.636,0.682,2.772588722239781,2.772588722239781,0.73,0.7,0.7,-0.127999,0.0879,0.65,0.69,0.803,1,2,1
2026-04-04,B8,Wildcard,Nuke,3,1,1.27,3.77,48,460,0.478,0.586,2.772588722239781,2.772588722239781,0.2,0.89,0.5,-0.047999,0.2832,0.55,0.58,0.797,0,1,1
2026-04-04,B8,Wildcard,Mirage,3,1,1.27,3.77,48,460,0.478,0.586,2.772588722239781,2.772588722239781,0.53,0.71,0.5,-0.047999,0.2832,0.55,0.58,0.797,0,1,1
2026-04-04,Astralis,MIBR,Mirage,3,1,1.32,3.42,170,320,0.577,0.806,2.772588722239781,2.772588722239781,0.2,0.85,0.5,-0.096,0.1864999,0.52,0.78,0.844,0,0,1
2026-04-04,Astralis,MIBR,Overpass,3,1,1.32,3.42,170,320,0.577,0.806,2.772588722239781,2.772588722239781,0.69,0.62,0.5,-0.096,0.1864999,0.52,0.78,0.844,0,0,1
2026-04-04,TheMongolZ,BC.Game,Dust2,3,1,1.16,5.27,286,531,0.526,0.35,2.772588722239781,2.772588722239781,0.43,0.333,0.5,0.052,0.302,0.59,0.38,0.466,0,0,1
2026-04-04,TheMongolZ,BC.Game,Ancient,3,1,1.16,5.27,286,531,0.526,0.35,2.772588722239781,2.772588722239781,0.333,0.2,0.5,0.052,0.302,0.59,0.38,0.466,0,0,1
2026-04-04,PARIVISION,Legacy,Mirage,3,1,1.42,2.88,293,261,0.63,0.632,2.772588722239781,2.772588722239781,0.44,0.67,0.428571,-0.008,0.1013999,0.62,0.61,0.801,0,0,0
2026-04-04,PARIVISION,Legacy,Inferno,3,1,1.42,2.88,293,261,0.63,0.632,2.772588722239781,2.772588722239781,0.57,0.67,0.428571,-0.008,0.1013999,0.62,0.61,0.801,0,0,1
2026-04-04,PARIVISION,Legacy,Dust2,3,1,1.42,2.88,293,261,0.63,0.632,2.772588722239781,2.772588722239781,0.65,0.62,0.428571,-0.008,0.1013999,0.62,0.61,0.801,0,0,1
