date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-04-04,FUT,InnerCircle,Dust2,3,1,1.21,4.52,127,426,0.519,0.5,2.772588722239781,2.772588722239781,0.5,0.62,0.7,0.05,0.354,0.6,0.51,0.935,0,1,0
2026-04-04,InnerCircle,FUT,Dust2,3,1,4.52,1.21,-127,-426,0.5,0.519,2.772588722239781,2.772588722239781,0.62,0.5,0.7,-0.05,-0.354,0.51,0.6,0.06499999999999995,1,0,1
2026-04-04,FUT,InnerCircle,Mirage,3,1,1.21,4.52,127,426,0.519,0.5,2.772588722239781,2.772588722239781,0.74,0.5,0.7,0.05,0.354,0.6,0.51,0.935,0,1,1
2026-04-04,InnerCircle,FUT,Mirage,3,1,4.52,1.21,-127,-426,0.5,0.519,2.772588722239781,2.772588722239781,0.5,0.74,0.7,-0.05,-0.354,0.51,0.6,0.06499999999999995,1,0,0
2026-04-04,FUT,InnerCircle,Ancient,3,1,1.21,4.52,127,426,0.519,0.5,2.772588722239781,2.772588722239781,0.46,0.53,0.7,0.05,0.354,0.6,0.51,0.935,0,1,1
2026-04-04,InnerCircle,FUT,Ancient,3,1,4.52,1.21,-127,-426,0.5,0.519,2.772588722239781,2.772588722239781,0.53,0.46,0.7,-0.05,-0.354,0.51,0.6,0.06499999999999995,1,0,0
2026-04-04,3DMAX,FOKUS,Ancient,3,1,1.58,2.39,62,166,0.485,0.727,2.772588722239781,2.772588722239781,0.3,0.9,0.333,-0.024,0.1406999,0.57,0.7,0.395,1,5,0
2026-04-04,FOKUS,3DMAX,Ancient,3,1,2.39,1.58,-62,-166,0.727,0.485,2.772588722239781,2.772588722239781,0.9,0.3,0.333,0.024,-0.1406999,0.7,0.57,0.605,5,1,1
2026-04-04,3DMAX,FOKUS,Dust2,3,1,1.58,2.39,62,166,0.485,0.727,2.772588722239781,2.772588722239781,0.52,0.5,0.333,-0.024,0.1406999,0.57,0.7,0.395,1,5,1
2026-04-04,FOKUS,3DMAX,Dust2,3,1,2.39,1.58,-62,-166,0.727,0.485,2.772588722239781,2.772588722239781,0.5,0.52,0.333,0.024,-0.1406999,0.7,0.57,0.605,5,1,0
2026-04-04,3DMAX,FOKUS,Inferno,3,1,1.58,2.39,62,166,0.485,0.727,2.772588722239781,2.772588722239781,0.5,0.86,0.333,-0.024,0.1406999,0.57,0.7,0.395,1,5,0
2026-04-04,FOKUS,3DMAX,Inferno,3,1,2.39,1.58,-62,-166,0.727,0.485,2.772588722239781,2.772588722239781,0.86,0.5,0.333,0.024,-0.1406999,0.7,0.57,0.605,5,1,1
2026-04-04,NRG,Voca,Inferno,3,1,1.42,2.88,28,103,0.636,0.682,2.772588722239781,2.772588722239781,0.67,0.5,0.7,-0.127999,0.0879,0.65,0.69,0.803,1,2,1
2026-04-04,Voca,NRG,Inferno,3,1,2.88,1.42,-28,-103,0.682,0.636,2.772588722239781,2.772588722239781,0.5,0.67,0.7,0.127999,-0.0879,0.69,0.65,0.19699999999999995,2,1,0
2026-04-04,NRG,Voca,Mirage,3,1,1.42,2.88,28,103,0.636,0.682,2.772588722239781,2.772588722239781,0.73,0.7,0.7,-0.127999,0.0879,0.65,0.69,0.803,1,2,1
