date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-02-14,NaVi,Astralis,Nuke,3,1,1.52,2.56,172,75,0.571,0.5,2.772588722239781,2.772588722239781,0.33,0.2,0.36363636363636365,0.019999999999999574,0.019999999999999574,0.62,0.51,0.636,0,2,1
2026-02-14,NaVi,Astralis,Mirage,3,1,1.52,2.56,172,75,0.571,0.5,2.772588722239781,2.772588722239781,0.5,0.29,0.36363636363636365,0.019999999999999574,0.019999999999999574,0.62,0.51,0.636,0,2,1
2026-02-14,Aurora,FUT,Mirage,3,1,1.58,2.39,102,197,0.462,0.704,2.772588722239781,2.772588722239781,0.29,0.89,0.5,-0.052,0.05699999999999972,0.54,0.62,0.689,1,0,0
2026-02-14,Aurora,FUT,Anubis,3,1,1.58,2.39,102,197,0.462,0.704,2.772588722239781,2.772588722239781,0.75,0.2,0.5,-0.052,0.05699999999999972,0.54,0.62,0.689,1,0,1
2026-02-14,Aurora,FUT,Overpass,3,1,1.58,2.39,102,197,0.462,0.704,2.772588722239781,2.772588722239781,0.5,0.6,0.5,-0.052,0.05699999999999972,0.54,0.62,0.689,1,0,0
2026-02-14,MOUZ,PARIVISION,Dust2,3,1,1.53,2.52,140,-2,0.583,0.652,2.772588722239781,2.772588722239781,0.5,0.8,0.666667,-0.022,-0.022,0.59,0.63,0.378,0,0,0
2026-02-14,MOUZ,PARIVISION,Inferno,3,1,1.53,2.52,140,-2,0.583,0.652,2.772588722239781,2.772588722239781,0.6,0.57,0.666667,-0.022,-0.022,0.59,0.63,0.378,0,0,1
2026-02-14,MOUZ,PARIVISION,Overpass,3,1,1.53,2.52,140,-2,0.583,0.652,2.772588722239781,2.772588722239781,0.75,0.57,0.666667,-0.022,-0.022,0.59,0.63,0.378,0,0,1
2026-02-14,FaZe,HEROIC,Overpass,3,1,1.61,2.34,156,240,0.6,0.5,2.772588722239781,2.772588722239781,0.33,0.33,0.5,0.06999999999999984,0.1691999999999998,0.57,0.49,0.702,0,1,1
2026-02-14,FaZe,HEROIC,Ancient,3,1,1.61,2.34,156,240,0.6,0.5,2.772588722239781,2.772588722239781,0.67,0.5,0.5,0.06999999999999984,0.1691999999999998,0.57,0.49,0.702,0,1,1
2026-02-14,Vitality,G2,Mirage,3,1,1.26,3.92,736,356,0.8,0.545,2.772588722239781,2.772588722239781,0.67,0.6,0.6923076923076923,0.036,0.036,0.72,0.53,0.777,0,0,1
2026-02-14,Vitality,G2,Inferno,3,1,1.26,3.92,736,356,0.8,0.545,2.772588722239781,2.772588722239781,0.75,0.2,0.6923076923076923,0.036,0.036,0.72,0.53,0.777,0,0,0
2026-02-14,Vitality,G2,Anubis,3,1,1.26,3.92,736,356,0.8,0.545,2.772588722239781,2.772588722239781,0.75,0.5,0.6923076923076923,0.036,0.036,0.72,0.53,0.777,0,0,1
2026-02-14,Falcons,3DMAX,Nuke,3,1,1.23,4.25,350,315,0.632,0.438,2.772588722239781,2.772588722239781,0.62,0.4,0.6,0.06999999999999984,0.17379999999999984,0.53,0.51,0.822,0,0,1
2026-02-14,Falcons,3DMAX,Dust2,3,1,1.23,4.25,350,315,0.632,0.438,2.772588722239781,2.772588722239781,0.57,0.25,0.6,0.06999999999999984,0.17379999999999984,0.53,0.51,0.822,0,0,1
2026-02-14,FURIA,B8,Mirage,3,1,1.18,4.95,653,405,0.789,0.533,2.772588722239781,2.772588722239781,0.55,0.33,0.625,0.06,0.1654,0.58,0.55,0.833,0,1,1
2026-02-14,FURIA,B8,Inferno,3,1,1.18,4.95,653,405,0.789,0.533,2.772588722239781,2.772588722239781,0.5,0.33,0.625,0.06,0.1654,0.58,0.55,0.833,0,1,1
2026-02-14,TheMongolZ,paiN,Nuke,3,1,1.6,2.35,152,107,0.333,0.385,2.772588722239781,2.772588722239781,0.333,0.6,0.666666667,-0.048,0.059599999999999986,0.6,0.61,0.703,1,2,0
2026-02-14,TheMongolZ,paiN,Mirage,3,1,1.6,2.35,152,107,0.333,0.385,2.772588722239781,2.772588722239781,0.67,0.5,0.666666667,-0.048,0.059599999999999986,0.6,0.61,0.703,1,2,1
2026-02-14,TheMongolZ,paiN,Dust2,3,1,1.6,2.35,152,107,0.333,0.385,2.772588722239781,2.772588722239781,0.25,0.2,0.666666667,-0.048,0.059599999999999986,0.6,0.61,0.703,1,2,1
2026-02-15,NaVi,MOUZ,Inferno,3,1,2.23,1.66,-184,-130,0.6,0.615,2.772588722239781,2.772588722239781,0.25,0.67,0.4166666666666667,-0.022,-0.022,0.62,0.59,0.684,0,0,0
2026-02-15,NaVi,MOUZ,Mirage,3,1,2.23,1.66,-184,-130,0.6,0.615,2.772588722239781,2.772588722239781,0.57,0.25,0.4166666666666667,-0.022,-0.022,0.62,0.59,0.684,0,0,0
2026-02-15,3DMAX,Astralis,Overpass,3,1,2.05,1.78,-21,-91,0.412,0.467,2.772588722239781,2.772588722239781,0.66,0.89,0.25,-0.005999999999999783,-0.005399999999999805,0.5,0.51,0.337,0,2,0
2026-02-15,3DMAX,Astralis,Nuke,3,1,2.05,1.78,-21,-91,0.412,0.467,2.772588722239781,2.772588722239781,0.4,0.17,0.25,-0.005999999999999783,-0.005399999999999805,0.5,0.51,0.337,0,2,0
2026-02-15,Falcons,FaZe,Anubis,3,1,1.32,3.42,177,202,0.611,0.619,2.772588722239781,2.772588722239781,0.33,0.5,0.8181818181818182,0.04599999999999982,0.04599999999999982,0.53,0.57,0.495,0,0,1
