date,team_A,team_B,map,bo_type,lan,odds_A,odds_B,hltv_points_diff,valve_points_diff,form_A,form_B,ln_games_A,ln_games_B,map_wr_A,map_wr_B,h2h_A,avg_rating_3_0_diff,avg_rating_diff,coach_wr_A,coach_wr_B,pick_a_winner_A,roster_changed_last_30d_A,roster_changed_last_30d_B,winner_A
2026-02-14,NaVi,Astralis,Nuke,3,1,1.52,2.56,172,75,0.571,0.5,2.772588722239781,2.772588722239781,0.33,0.2,0.36363636363636365,0.019999999999999574,0.019999999999999574,0.62,0.51,0.636,0,2,1
2026-02-14,Astralis,NaVi,Nuke,3,1,2.56,1.52,-172,-75,0.5,0.571,2.772588722239781,2.772588722239781,0.2,0.33,0.36363636363636365,-0.019999999999999574,-0.019999999999999574,0.51,0.62,0.364,2,0,0
2026-02-14,NaVi,Astralis,Mirage,3,1,1.52,2.56,172,75,0.571,0.5,2.772588722239781,2.772588722239781,0.5,0.29,0.36363636363636365,0.019999999999999574,0.019999999999999574,0.62,0.51,0.636,0,2,1
2026-02-14,Astralis,NaVi,Mirage,3,1,2.56,1.52,-172,-75,0.5,0.571,2.772588722239781,2.772588722239781,0.29,0.5,0.36363636363636365,-0.019999999999999574,-0.019999999999999574,0.51,0.62,0.364,2,0,0
2026-02-14,Aurora,FUT,Mirage,3,1,1.58,2.39,102,197,0.462,0.704,2.772588722239781,2.772588722239781,0.29,0.89,0.5,-0.052,0.05699999999999972,0.54,0.62,0.689,1,0,0
2026-02-14,FUT,Aurora,Mirage,3,1,2.39,1.58,-102,-197,0.704,0.462,2.772588722239781,2.772588722239781,0.89,0.29,0.5,0.052,-0.05699999999999972,0.62,0.54,0.31100000000000005,0,1,1
2026-02-14,Aurora,FUT,Anubis,3,1,1.58,2.39,102,197,0.462,0.704,2.772588722239781,2.772588722239781,0.75,0.2,0.5,-0.052,0.05699999999999972,0.54,0.62,0.689,1,0,1
2026-02-14,FUT,Aurora,Anubis,3,1,2.39,1.58,-102,-197,0.704,0.462,2.772588722239781,2.772588722239781,0.2,0.75,0.5,0.052,-0.05699999999999972,0.62,0.54,0.31100000000000005,0,1,0
2026-02-14,Aurora,FUT,Overpass,3,1,1.58,2.39,102,197,0.462,0.704,2.772588722239781,2.772588722239781,0.5,0.6,0.5,-0.052,0.05699999999999972,0.54,0.62,0.689,1,0,0
2026-02-14,FUT,Aurora,Overpass,3,1,2.39,1.58,-102,-197,0.704,0.462,2.772588722239781,2.772588722239781,0.6,0.5,0.5,0.052,-0.05699999999999972,0.62,0.54,0.31100000000000005,0,1,1
